No,因縁名,因縁種類,因子1,因子2,因子3,効果サイズ,効果元表記,対象ステータス,係数カテゴリ,因縁係数,全体倍率,実効係数_因縁係数x2.24,因縁値式,陣形補正式,最終式
3,神主・巫女,職業因縁,神道,古神道,雅楽,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
3,神主・巫女,職業因縁,神道,古神道,雅楽,中,気合,気合,気合,0.006,2.24,0.01344,気合=対象ライン3人気合合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
3,神主・巫女,職業因縁,神道,古神道,雅楽,小,腕力・器用さ・知力,腕力,ステータス,0.0022,2.24,0.004928,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
3,神主・巫女,職業因縁,神道,古神道,雅楽,小,腕力・器用さ・知力,器用さ,ステータス,0.0022,2.24,0.004928,器用さ=対象ライン3人器用さ合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
3,神主・巫女,職業因縁,神道,古神道,雅楽,小,腕力・器用さ・知力,知力,ステータス,0.0022,2.24,0.004928,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
4,陰陽師,職業因縁,陰陽道,仙道,召喚術,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
4,陰陽師,職業因縁,陰陽道,仙道,召喚術,中,知力,知力,ステータス,0.0044,2.24,0.009856,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
4,陰陽師,職業因縁,陰陽道,仙道,召喚術,小,気合・耐久力・四象,気合,気合,0.003,2.24,0.00672,気合=対象ライン3人気合合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
4,陰陽師,職業因縁,陰陽道,仙道,召喚術,小,気合・耐久力・四象,耐久力,ステータス,0.0022,2.24,0.004928,耐久力=対象ライン3人耐久力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
4,陰陽師,職業因縁,陰陽道,仙道,召喚術,小,気合・耐久力・四象,土,ステータス,0.0022,2.24,0.004928,土=対象ライン3人土合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
4,陰陽師,職業因縁,陰陽道,仙道,召喚術,小,気合・耐久力・四象,水,ステータス,0.0022,2.24,0.004928,水=対象ライン3人水合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
4,陰陽師,職業因縁,陰陽道,仙道,召喚術,小,気合・耐久力・四象,火,ステータス,0.0022,2.24,0.004928,火=対象ライン3人火合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
4,陰陽師,職業因縁,陰陽道,仙道,召喚術,小,気合・耐久力・四象,風,ステータス,0.0022,2.24,0.004928,風=対象ライン3人風合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
5,忍者,職業因縁,忍法,暗殺術,忍術,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
5,忍者,職業因縁,忍法,暗殺術,忍術,中,器用,器用さ,ステータス,0.0044,2.24,0.009856,器用さ=対象ライン3人器用さ合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
5,忍者,職業因縁,忍法,暗殺術,忍術,小,腕力・知力・四象,腕力,ステータス,0.0022,2.24,0.004928,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
5,忍者,職業因縁,忍法,暗殺術,忍術,小,腕力・知力・四象,知力,ステータス,0.0022,2.24,0.004928,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
5,忍者,職業因縁,忍法,暗殺術,忍術,小,腕力・知力・四象,土,ステータス,0.0022,2.24,0.004928,土=対象ライン3人土合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
5,忍者,職業因縁,忍法,暗殺術,忍術,小,腕力・知力・四象,水,ステータス,0.0022,2.24,0.004928,水=対象ライン3人水合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
5,忍者,職業因縁,忍法,暗殺術,忍術,小,腕力・知力・四象,火,ステータス,0.0022,2.24,0.004928,火=対象ライン3人火合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
5,忍者,職業因縁,忍法,暗殺術,忍術,小,腕力・知力・四象,風,ステータス,0.0022,2.24,0.004928,風=対象ライン3人風合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
6,鍛冶屋,職業因縁,刀鍛冶,鎧鍛冶,鉄砲鍛冶,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
6,鍛冶屋,職業因縁,刀鍛冶,鎧鍛冶,鉄砲鍛冶,中,耐久力,耐久力,ステータス,0.0044,2.24,0.009856,耐久力=対象ライン3人耐久力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
6,鍛冶屋,職業因縁,刀鍛冶,鎧鍛冶,鉄砲鍛冶,小,腕力・器用さ・魅力,腕力,ステータス,0.0022,2.24,0.004928,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
6,鍛冶屋,職業因縁,刀鍛冶,鎧鍛冶,鉄砲鍛冶,小,腕力・器用さ・魅力,器用さ,ステータス,0.0022,2.24,0.004928,器用さ=対象ライン3人器用さ合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
6,鍛冶屋,職業因縁,刀鍛冶,鎧鍛冶,鉄砲鍛冶,小,腕力・器用さ・魅力,魅力,ステータス,0.0022,2.24,0.004928,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
7,薬師,職業因縁,医学,神通力,修験道,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
7,薬師,職業因縁,医学,神通力,修験道,中,魅力,魅力,ステータス,0.0044,2.24,0.009856,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
7,薬師,職業因縁,医学,神通力,修験道,小,気合・知力・四象,気合,気合,0.003,2.24,0.00672,気合=対象ライン3人気合合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
7,薬師,職業因縁,医学,神通力,修験道,小,気合・知力・四象,知力,ステータス,0.0022,2.24,0.004928,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
7,薬師,職業因縁,医学,神通力,修験道,小,気合・知力・四象,土,ステータス,0.0022,2.24,0.004928,土=対象ライン3人土合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
7,薬師,職業因縁,医学,神通力,修験道,小,気合・知力・四象,水,ステータス,0.0022,2.24,0.004928,水=対象ライン3人水合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
7,薬師,職業因縁,医学,神通力,修験道,小,気合・知力・四象,火,ステータス,0.0022,2.24,0.004928,火=対象ライン3人火合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
7,薬師,職業因縁,医学,神通力,修験道,小,気合・知力・四象,風,ステータス,0.0022,2.24,0.004928,風=対象ライン3人風合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
8,傾奇者,職業因縁,四象,地勢,殺陣,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
8,傾奇者,職業因縁,四象,地勢,殺陣,中,四象,土,ステータス,0.0044,2.24,0.009856,土=対象ライン3人土合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
8,傾奇者,職業因縁,四象,地勢,殺陣,中,四象,水,ステータス,0.0044,2.24,0.009856,水=対象ライン3人水合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
8,傾奇者,職業因縁,四象,地勢,殺陣,中,四象,火,ステータス,0.0044,2.24,0.009856,火=対象ライン3人火合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
8,傾奇者,職業因縁,四象,地勢,殺陣,中,四象,風,ステータス,0.0044,2.24,0.009856,風=対象ライン3人風合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
8,傾奇者,職業因縁,四象,地勢,殺陣,小,腕力・耐久力・知力,腕力,ステータス,0.0022,2.24,0.004928,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
8,傾奇者,職業因縁,四象,地勢,殺陣,小,腕力・耐久力・知力,耐久力,ステータス,0.0022,2.24,0.004928,耐久力=対象ライン3人耐久力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
8,傾奇者,職業因縁,四象,地勢,殺陣,小,腕力・耐久力・知力,知力,ステータス,0.0022,2.24,0.004928,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
9,武士道の絆,特化因縁,武士道,武士道,武士道,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
9,武士道の絆,特化因縁,武士道,武士道,武士道,中,気合・耐久力・魅力,気合,気合,0.006,2.24,0.01344,気合=対象ライン3人気合合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
9,武士道の絆,特化因縁,武士道,武士道,武士道,中,気合・耐久力・魅力,耐久力,ステータス,0.0044,2.24,0.009856,耐久力=対象ライン3人耐久力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
9,武士道の絆,特化因縁,武士道,武士道,武士道,中,気合・耐久力・魅力,魅力,ステータス,0.0044,2.24,0.009856,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
10,武芸の絆,特化因縁,武芸,武芸,武芸,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
10,武芸の絆,特化因縁,武芸,武芸,武芸,中,腕力・耐久力・器用さ,腕力,ステータス,0.0044,2.24,0.009856,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
10,武芸の絆,特化因縁,武芸,武芸,武芸,中,腕力・耐久力・器用さ,耐久力,ステータス,0.0044,2.24,0.009856,耐久力=対象ライン3人耐久力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
10,武芸の絆,特化因縁,武芸,武芸,武芸,中,腕力・耐久力・器用さ,器用さ,ステータス,0.0044,2.24,0.009856,器用さ=対象ライン3人器用さ合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
11,軍学の絆,特化因縁,軍学,軍学,軍学,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
11,軍学の絆,特化因縁,軍学,軍学,軍学,中,耐久力・知力・魅力,耐久力,ステータス,0.0044,2.24,0.009856,耐久力=対象ライン3人耐久力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
11,軍学の絆,特化因縁,軍学,軍学,軍学,中,耐久力・知力・魅力,知力,ステータス,0.0044,2.24,0.009856,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
11,軍学の絆,特化因縁,軍学,軍学,軍学,中,耐久力・知力・魅力,魅力,ステータス,0.0044,2.24,0.009856,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
12,僧兵の絆,特化因縁,僧兵,僧兵,僧兵,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
12,僧兵の絆,特化因縁,僧兵,僧兵,僧兵,中,腕力・耐久力・知力,腕力,ステータス,0.0044,2.24,0.009856,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
12,僧兵の絆,特化因縁,僧兵,僧兵,僧兵,中,腕力・耐久力・知力,耐久力,ステータス,0.0044,2.24,0.009856,耐久力=対象ライン3人耐久力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
12,僧兵の絆,特化因縁,僧兵,僧兵,僧兵,中,腕力・耐久力・知力,知力,ステータス,0.0044,2.24,0.009856,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
13,仏門の絆,特化因縁,仏門,仏門,仏門,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
13,仏門の絆,特化因縁,仏門,仏門,仏門,中,気合・知力・魅力,気合,気合,0.006,2.24,0.01344,気合=対象ライン3人気合合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
13,仏門の絆,特化因縁,仏門,仏門,仏門,中,気合・知力・魅力,知力,ステータス,0.0044,2.24,0.009856,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
13,仏門の絆,特化因縁,仏門,仏門,仏門,中,気合・知力・魅力,魅力,ステータス,0.0044,2.24,0.009856,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
14,密教の絆,特化因縁,密教,密教,密教,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
14,密教の絆,特化因縁,密教,密教,密教,中,知力・魅力・四象,知力,ステータス,0.0044,2.24,0.009856,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
14,密教の絆,特化因縁,密教,密教,密教,中,知力・魅力・四象,魅力,ステータス,0.0044,2.24,0.009856,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
14,密教の絆,特化因縁,密教,密教,密教,中,知力・魅力・四象,土,ステータス,0.0044,2.24,0.009856,土=対象ライン3人土合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
14,密教の絆,特化因縁,密教,密教,密教,中,知力・魅力・四象,水,ステータス,0.0044,2.24,0.009856,水=対象ライン3人水合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
14,密教の絆,特化因縁,密教,密教,密教,中,知力・魅力・四象,火,ステータス,0.0044,2.24,0.009856,火=対象ライン3人火合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
14,密教の絆,特化因縁,密教,密教,密教,中,知力・魅力・四象,風,ステータス,0.0044,2.24,0.009856,風=対象ライン3人風合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
15,神道の絆,特化因縁,神道,神道,神道,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
15,神道の絆,特化因縁,神道,神道,神道,中,腕力・器用さ・知力,腕力,ステータス,0.0044,2.24,0.009856,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
15,神道の絆,特化因縁,神道,神道,神道,中,腕力・器用さ・知力,器用さ,ステータス,0.0044,2.24,0.009856,器用さ=対象ライン3人器用さ合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
15,神道の絆,特化因縁,神道,神道,神道,中,腕力・器用さ・知力,知力,ステータス,0.0044,2.24,0.009856,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
16,古神道の絆,特化因縁,古神道,古神道,古神道,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
16,古神道の絆,特化因縁,古神道,古神道,古神道,中,気合・知力・四象,気合,気合,0.006,2.24,0.01344,気合=対象ライン3人気合合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
16,古神道の絆,特化因縁,古神道,古神道,古神道,中,気合・知力・四象,知力,ステータス,0.0044,2.24,0.009856,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
16,古神道の絆,特化因縁,古神道,古神道,古神道,中,気合・知力・四象,土,ステータス,0.0044,2.24,0.009856,土=対象ライン3人土合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
16,古神道の絆,特化因縁,古神道,古神道,古神道,中,気合・知力・四象,水,ステータス,0.0044,2.24,0.009856,水=対象ライン3人水合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
16,古神道の絆,特化因縁,古神道,古神道,古神道,中,気合・知力・四象,火,ステータス,0.0044,2.24,0.009856,火=対象ライン3人火合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
16,古神道の絆,特化因縁,古神道,古神道,古神道,中,気合・知力・四象,風,ステータス,0.0044,2.24,0.009856,風=対象ライン3人風合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
17,雅楽の絆,特化因縁,雅楽,雅楽,雅楽,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
17,雅楽の絆,特化因縁,雅楽,雅楽,雅楽,中,知力・魅力・四象,知力,ステータス,0.0044,2.24,0.009856,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
17,雅楽の絆,特化因縁,雅楽,雅楽,雅楽,中,知力・魅力・四象,魅力,ステータス,0.0044,2.24,0.009856,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
17,雅楽の絆,特化因縁,雅楽,雅楽,雅楽,中,知力・魅力・四象,土,ステータス,0.0044,2.24,0.009856,土=対象ライン3人土合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
17,雅楽の絆,特化因縁,雅楽,雅楽,雅楽,中,知力・魅力・四象,水,ステータス,0.0044,2.24,0.009856,水=対象ライン3人水合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
17,雅楽の絆,特化因縁,雅楽,雅楽,雅楽,中,知力・魅力・四象,火,ステータス,0.0044,2.24,0.009856,火=対象ライン3人火合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
17,雅楽の絆,特化因縁,雅楽,雅楽,雅楽,中,知力・魅力・四象,風,ステータス,0.0044,2.24,0.009856,風=対象ライン3人風合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
18,陰陽道の絆,特化因縁,陰陽道,陰陽道,陰陽道,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
18,陰陽道の絆,特化因縁,陰陽道,陰陽道,陰陽道,中,知力・魅力・四象,知力,ステータス,0.0044,2.24,0.009856,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
18,陰陽道の絆,特化因縁,陰陽道,陰陽道,陰陽道,中,知力・魅力・四象,魅力,ステータス,0.0044,2.24,0.009856,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
18,陰陽道の絆,特化因縁,陰陽道,陰陽道,陰陽道,中,知力・魅力・四象,土,ステータス,0.0044,2.24,0.009856,土=対象ライン3人土合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
18,陰陽道の絆,特化因縁,陰陽道,陰陽道,陰陽道,中,知力・魅力・四象,水,ステータス,0.0044,2.24,0.009856,水=対象ライン3人水合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
18,陰陽道の絆,特化因縁,陰陽道,陰陽道,陰陽道,中,知力・魅力・四象,火,ステータス,0.0044,2.24,0.009856,火=対象ライン3人火合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
18,陰陽道の絆,特化因縁,陰陽道,陰陽道,陰陽道,中,知力・魅力・四象,風,ステータス,0.0044,2.24,0.009856,風=対象ライン3人風合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
19,仙道の絆,特化因縁,仙道,仙道,仙道,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
19,仙道の絆,特化因縁,仙道,仙道,仙道,中,気合・知力・魅力,気合,気合,0.006,2.24,0.01344,気合=対象ライン3人気合合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
19,仙道の絆,特化因縁,仙道,仙道,仙道,中,気合・知力・魅力,知力,ステータス,0.0044,2.24,0.009856,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
19,仙道の絆,特化因縁,仙道,仙道,仙道,中,気合・知力・魅力,魅力,ステータス,0.0044,2.24,0.009856,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
20,召喚術の絆,特化因縁,召喚術,召喚術,召喚術,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
20,召喚術の絆,特化因縁,召喚術,召喚術,召喚術,中,耐久力・知力・四象,耐久力,ステータス,0.0044,2.24,0.009856,耐久力=対象ライン3人耐久力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
20,召喚術の絆,特化因縁,召喚術,召喚術,召喚術,中,耐久力・知力・四象,知力,ステータス,0.0044,2.24,0.009856,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
20,召喚術の絆,特化因縁,召喚術,召喚術,召喚術,中,耐久力・知力・四象,土,ステータス,0.0044,2.24,0.009856,土=対象ライン3人土合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
20,召喚術の絆,特化因縁,召喚術,召喚術,召喚術,中,耐久力・知力・四象,水,ステータス,0.0044,2.24,0.009856,水=対象ライン3人水合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
20,召喚術の絆,特化因縁,召喚術,召喚術,召喚術,中,耐久力・知力・四象,火,ステータス,0.0044,2.24,0.009856,火=対象ライン3人火合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
