No,因縁名,因縁種類,因子1,因子2,因子3,効果サイズ,効果元表記,対象ステータス,係数カテゴリ,因縁係数,全体倍率,実効係数,因縁値式,陣形補正式,最終式
4,陰陽師,最新資料倍率,,,,,0.44%,水属性,陣法説明(6).xlsx,0.0044,1,0.0044,水属性=配置6人水属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
4,陰陽師,最新資料倍率,,,,,0.44%,火属性,陣法説明(6).xlsx,0.0044,1,0.0044,火属性=配置6人火属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
4,陰陽師,最新資料倍率,,,,,0.44%,風属性,陣法説明(6).xlsx,0.0044,1,0.0044,風属性=配置6人風属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
5,忍者,最新資料倍率,,,,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
5,忍者,最新資料倍率,,,,,0.44%,腕力,陣法説明(6).xlsx,0.0044,1,0.0044,腕力=配置6人腕力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
5,忍者,最新資料倍率,,,,,0.55%,器用さ,陣法説明(6).xlsx,0.0055,1,0.0055,器用さ=配置6人器用さ合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
5,忍者,最新資料倍率,,,,,0.33%,知力,陣法説明(6).xlsx,0.0033,1,0.0033,知力=配置6人知力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
5,忍者,最新資料倍率,,,,,0.33%,土属性,陣法説明(6).xlsx,0.0033,1,0.0033,土属性=配置6人土属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
5,忍者,最新資料倍率,,,,,0.33%,水属性,陣法説明(6).xlsx,0.0033,1,0.0033,水属性=配置6人水属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
5,忍者,最新資料倍率,,,,,0.33%,火属性,陣法説明(6).xlsx,0.0033,1,0.0033,火属性=配置6人火属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
5,忍者,最新資料倍率,,,,,0.33%,風属性,陣法説明(6).xlsx,0.0033,1,0.0033,風属性=配置6人風属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
6,鍛冶屋,最新資料倍率,,,,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
6,鍛冶屋,最新資料倍率,,,,,0.33%,腕力,陣法説明(6).xlsx,0.0033,1,0.0033,腕力=配置6人腕力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
6,鍛冶屋,最新資料倍率,,,,,0.55%,耐久力,陣法説明(6).xlsx,0.0055,1,0.0055,耐久力=配置6人耐久力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
6,鍛冶屋,最新資料倍率,,,,,0.33%,器用さ,陣法説明(6).xlsx,0.0033,1,0.0033,器用さ=配置6人器用さ合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
6,鍛冶屋,最新資料倍率,,,,,0.44%,魅力,陣法説明(6).xlsx,0.0044,1,0.0044,魅力=配置6人魅力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
7,薬師,最新資料倍率,,,,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
7,薬師,最新資料倍率,,,,,0.60%,気合,陣法説明(6).xlsx,0.006,1,0.006,気合=配置6人気合合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
7,薬師,最新資料倍率,,,,,0.33%,知力,陣法説明(6).xlsx,0.0033,1,0.0033,知力=配置6人知力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
7,薬師,最新資料倍率,,,,,0.55%,魅力,陣法説明(6).xlsx,0.0055,1,0.0055,魅力=配置6人魅力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
7,薬師,最新資料倍率,,,,,0.33%,土属性,陣法説明(6).xlsx,0.0033,1,0.0033,土属性=配置6人土属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
7,薬師,最新資料倍率,,,,,0.33%,水属性,陣法説明(6).xlsx,0.0033,1,0.0033,水属性=配置6人水属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
7,薬師,最新資料倍率,,,,,0.33%,火属性,陣法説明(6).xlsx,0.0033,1,0.0033,火属性=配置6人火属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
7,薬師,最新資料倍率,,,,,0.33%,風属性,陣法説明(6).xlsx,0.0033,1,0.0033,風属性=配置6人風属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
8,傾奇者,最新資料倍率,,,,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
8,傾奇者,最新資料倍率,,,,,0.44%,腕力,陣法説明(6).xlsx,0.0044,1,0.0044,腕力=配置6人腕力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
8,傾奇者,最新資料倍率,,,,,0.33%,耐久力,陣法説明(6).xlsx,0.0033,1,0.0033,耐久力=配置6人耐久力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
8,傾奇者,最新資料倍率,,,,,0.33%,知力,陣法説明(6).xlsx,0.0033,1,0.0033,知力=配置6人知力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
8,傾奇者,最新資料倍率,,,,,0.55%,土属性,陣法説明(6).xlsx,0.0055,1,0.0055,土属性=配置6人土属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
8,傾奇者,最新資料倍率,,,,,0.55%,水属性,陣法説明(6).xlsx,0.0055,1,0.0055,水属性=配置6人水属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
8,傾奇者,最新資料倍率,,,,,0.55%,火属性,陣法説明(6).xlsx,0.0055,1,0.0055,火属性=配置6人火属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
8,傾奇者,最新資料倍率,,,,,0.55%,風属性,陣法説明(6).xlsx,0.0055,1,0.0055,風属性=配置6人風属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
9,武士道の絆,最新資料倍率,,,,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
9,武士道の絆,最新資料倍率,,,,,0.75%,気合,陣法説明(6).xlsx,0.0075,1,0.0075,気合=配置6人気合合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
9,武士道の絆,最新資料倍率,,,,,0.55%,耐久力,陣法説明(6).xlsx,0.0055,1,0.0055,耐久力=配置6人耐久力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
9,武士道の絆,最新資料倍率,,,,,0.55%,魅力,陣法説明(6).xlsx,0.0055,1,0.0055,魅力=配置6人魅力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
10,武芸の絆,最新資料倍率,,,,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
10,武芸の絆,最新資料倍率,,,,,0.55%,腕力,陣法説明(6).xlsx,0.0055,1,0.0055,腕力=配置6人腕力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
10,武芸の絆,最新資料倍率,,,,,0.55%,耐久力,陣法説明(6).xlsx,0.0055,1,0.0055,耐久力=配置6人耐久力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
10,武芸の絆,最新資料倍率,,,,,0.55%,器用さ,陣法説明(6).xlsx,0.0055,1,0.0055,器用さ=配置6人器用さ合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
11,軍学の絆,最新資料倍率,,,,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
11,軍学の絆,最新資料倍率,,,,,0.55%,耐久力,陣法説明(6).xlsx,0.0055,1,0.0055,耐久力=配置6人耐久力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
11,軍学の絆,最新資料倍率,,,,,0.55%,知力,陣法説明(6).xlsx,0.0055,1,0.0055,知力=配置6人知力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
11,軍学の絆,最新資料倍率,,,,,0.55%,魅力,陣法説明(6).xlsx,0.0055,1,0.0055,魅力=配置6人魅力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
12,僧兵の絆,最新資料倍率,,,,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
12,僧兵の絆,最新資料倍率,,,,,0.55%,腕力,陣法説明(6).xlsx,0.0055,1,0.0055,腕力=配置6人腕力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
12,僧兵の絆,最新資料倍率,,,,,0.55%,耐久力,陣法説明(6).xlsx,0.0055,1,0.0055,耐久力=配置6人耐久力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
12,僧兵の絆,最新資料倍率,,,,,0.55%,知力,陣法説明(6).xlsx,0.0055,1,0.0055,知力=配置6人知力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
13,仏門の絆,最新資料倍率,,,,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
13,仏門の絆,最新資料倍率,,,,,0.75%,気合,陣法説明(6).xlsx,0.0075,1,0.0075,気合=配置6人気合合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
13,仏門の絆,最新資料倍率,,,,,0.55%,知力,陣法説明(6).xlsx,0.0055,1,0.0055,知力=配置6人知力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
13,仏門の絆,最新資料倍率,,,,,0.55%,魅力,陣法説明(6).xlsx,0.0055,1,0.0055,魅力=配置6人魅力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
14,密教の絆,最新資料倍率,,,,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
14,密教の絆,最新資料倍率,,,,,0.55%,知力,陣法説明(6).xlsx,0.0055,1,0.0055,知力=配置6人知力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
14,密教の絆,最新資料倍率,,,,,0.55%,魅力,陣法説明(6).xlsx,0.0055,1,0.0055,魅力=配置6人魅力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
14,密教の絆,最新資料倍率,,,,,0.55%,土属性,陣法説明(6).xlsx,0.0055,1,0.0055,土属性=配置6人土属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
14,密教の絆,最新資料倍率,,,,,0.55%,水属性,陣法説明(6).xlsx,0.0055,1,0.0055,水属性=配置6人水属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
14,密教の絆,最新資料倍率,,,,,0.55%,火属性,陣法説明(6).xlsx,0.0055,1,0.0055,火属性=配置6人火属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
14,密教の絆,最新資料倍率,,,,,0.55%,風属性,陣法説明(6).xlsx,0.0055,1,0.0055,風属性=配置6人風属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
15,神道の絆,最新資料倍率,,,,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
15,神道の絆,最新資料倍率,,,,,0.55%,腕力,陣法説明(6).xlsx,0.0055,1,0.0055,腕力=配置6人腕力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
15,神道の絆,最新資料倍率,,,,,0.55%,器用さ,陣法説明(6).xlsx,0.0055,1,0.0055,器用さ=配置6人器用さ合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
15,神道の絆,最新資料倍率,,,,,0.55%,知力,陣法説明(6).xlsx,0.0055,1,0.0055,知力=配置6人知力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
16,古神道の絆,最新資料倍率,,,,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
16,古神道の絆,最新資料倍率,,,,,0.75%,気合,陣法説明(6).xlsx,0.0075,1,0.0075,気合=配置6人気合合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
16,古神道の絆,最新資料倍率,,,,,0.55%,知力,陣法説明(6).xlsx,0.0055,1,0.0055,知力=配置6人知力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
16,古神道の絆,最新資料倍率,,,,,0.55%,土属性,陣法説明(6).xlsx,0.0055,1,0.0055,土属性=配置6人土属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
16,古神道の絆,最新資料倍率,,,,,0.55%,水属性,陣法説明(6).xlsx,0.0055,1,0.0055,水属性=配置6人水属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
16,古神道の絆,最新資料倍率,,,,,0.55%,火属性,陣法説明(6).xlsx,0.0055,1,0.0055,火属性=配置6人火属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
16,古神道の絆,最新資料倍率,,,,,0.55%,風属性,陣法説明(6).xlsx,0.0055,1,0.0055,風属性=配置6人風属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
17,雅楽の絆,最新資料倍率,,,,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
17,雅楽の絆,最新資料倍率,,,,,0.55%,知力,陣法説明(6).xlsx,0.0055,1,0.0055,知力=配置6人知力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
17,雅楽の絆,最新資料倍率,,,,,0.55%,魅力,陣法説明(6).xlsx,0.0055,1,0.0055,魅力=配置6人魅力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
17,雅楽の絆,最新資料倍率,,,,,0.55%,土属性,陣法説明(6).xlsx,0.0055,1,0.0055,土属性=配置6人土属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
17,雅楽の絆,最新資料倍率,,,,,0.55%,水属性,陣法説明(6).xlsx,0.0055,1,0.0055,水属性=配置6人水属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
17,雅楽の絆,最新資料倍率,,,,,0.55%,火属性,陣法説明(6).xlsx,0.0055,1,0.0055,火属性=配置6人火属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
17,雅楽の絆,最新資料倍率,,,,,0.55%,風属性,陣法説明(6).xlsx,0.0055,1,0.0055,風属性=配置6人風属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
18,陰陽道の絆,最新資料倍率,,,,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
18,陰陽道の絆,最新資料倍率,,,,,0.55%,知力,陣法説明(6).xlsx,0.0055,1,0.0055,知力=配置6人知力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
18,陰陽道の絆,最新資料倍率,,,,,0.55%,魅力,陣法説明(6).xlsx,0.0055,1,0.0055,魅力=配置6人魅力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
18,陰陽道の絆,最新資料倍率,,,,,0.55%,土属性,陣法説明(6).xlsx,0.0055,1,0.0055,土属性=配置6人土属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
18,陰陽道の絆,最新資料倍率,,,,,0.55%,水属性,陣法説明(6).xlsx,0.0055,1,0.0055,水属性=配置6人水属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
18,陰陽道の絆,最新資料倍率,,,,,0.55%,火属性,陣法説明(6).xlsx,0.0055,1,0.0055,火属性=配置6人火属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
18,陰陽道の絆,最新資料倍率,,,,,0.55%,風属性,陣法説明(6).xlsx,0.0055,1,0.0055,風属性=配置6人風属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
19,仙道の絆,最新資料倍率,,,,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
