No,因縁名,因縁種類,因子1,因子2,因子3,効果サイズ,効果元表記,対象ステータス,係数カテゴリ,因縁係数,全体倍率,実効係数,因縁値式,陣形補正式,最終式
4,陰陽師,職業因縁,陰陽道,仙道,召喚術,,0.44%,土属性,陣法説明(6).xlsx,0.0044,1,0.0044,土属性=配置6人土属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
4,陰陽師,職業因縁,陰陽道,仙道,召喚術,,0.44%,水属性,陣法説明(6).xlsx,0.0044,1,0.0044,水属性=配置6人水属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
4,陰陽師,職業因縁,陰陽道,仙道,召喚術,,0.44%,火属性,陣法説明(6).xlsx,0.0044,1,0.0044,火属性=配置6人火属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
4,陰陽師,職業因縁,陰陽道,仙道,召喚術,,0.44%,風属性,陣法説明(6).xlsx,0.0044,1,0.0044,風属性=配置6人風属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
5,忍者,職業因縁,忍法,暗殺術,忍術,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
5,忍者,職業因縁,忍法,暗殺術,忍術,,0.44%,腕力,陣法説明(6).xlsx,0.0044,1,0.0044,腕力=配置6人腕力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
5,忍者,職業因縁,忍法,暗殺術,忍術,,0.55%,器用さ,陣法説明(6).xlsx,0.0055,1,0.0055,器用さ=配置6人器用さ合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
5,忍者,職業因縁,忍法,暗殺術,忍術,,0.33%,知力,陣法説明(6).xlsx,0.0033,1,0.0033,知力=配置6人知力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
5,忍者,職業因縁,忍法,暗殺術,忍術,,0.33%,土属性,陣法説明(6).xlsx,0.0033,1,0.0033,土属性=配置6人土属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
5,忍者,職業因縁,忍法,暗殺術,忍術,,0.33%,水属性,陣法説明(6).xlsx,0.0033,1,0.0033,水属性=配置6人水属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
5,忍者,職業因縁,忍法,暗殺術,忍術,,0.33%,火属性,陣法説明(6).xlsx,0.0033,1,0.0033,火属性=配置6人火属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
5,忍者,職業因縁,忍法,暗殺術,忍術,,0.33%,風属性,陣法説明(6).xlsx,0.0033,1,0.0033,風属性=配置6人風属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
6,鍛冶屋,職業因縁,刀鍛冶,鎧鍛冶,鉄砲鍛冶,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
6,鍛冶屋,職業因縁,刀鍛冶,鎧鍛冶,鉄砲鍛冶,,0.33%,腕力,陣法説明(6).xlsx,0.0033,1,0.0033,腕力=配置6人腕力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
6,鍛冶屋,職業因縁,刀鍛冶,鎧鍛冶,鉄砲鍛冶,,0.55%,耐久力,陣法説明(6).xlsx,0.0055,1,0.0055,耐久力=配置6人耐久力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
6,鍛冶屋,職業因縁,刀鍛冶,鎧鍛冶,鉄砲鍛冶,,0.33%,器用さ,陣法説明(6).xlsx,0.0033,1,0.0033,器用さ=配置6人器用さ合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
6,鍛冶屋,職業因縁,刀鍛冶,鎧鍛冶,鉄砲鍛冶,,0.44%,魅力,陣法説明(6).xlsx,0.0044,1,0.0044,魅力=配置6人魅力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
7,薬師,職業因縁,医学,神通力,修験道,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
7,薬師,職業因縁,医学,神通力,修験道,,0.60%,気合,陣法説明(6).xlsx,0.006,1,0.006,気合=配置6人気合合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
7,薬師,職業因縁,医学,神通力,修験道,,0.33%,知力,陣法説明(6).xlsx,0.0033,1,0.0033,知力=配置6人知力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
7,薬師,職業因縁,医学,神通力,修験道,,0.55%,魅力,陣法説明(6).xlsx,0.0055,1,0.0055,魅力=配置6人魅力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
7,薬師,職業因縁,医学,神通力,修験道,,0.33%,土属性,陣法説明(6).xlsx,0.0033,1,0.0033,土属性=配置6人土属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
7,薬師,職業因縁,医学,神通力,修験道,,0.33%,水属性,陣法説明(6).xlsx,0.0033,1,0.0033,水属性=配置6人水属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
7,薬師,職業因縁,医学,神通力,修験道,,0.33%,火属性,陣法説明(6).xlsx,0.0033,1,0.0033,火属性=配置6人火属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
7,薬師,職業因縁,医学,神通力,修験道,,0.33%,風属性,陣法説明(6).xlsx,0.0033,1,0.0033,風属性=配置6人風属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
8,傾奇者,職業因縁,四象,地勢,殺陣,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
8,傾奇者,職業因縁,四象,地勢,殺陣,,0.44%,腕力,陣法説明(6).xlsx,0.0044,1,0.0044,腕力=配置6人腕力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
8,傾奇者,職業因縁,四象,地勢,殺陣,,0.33%,耐久力,陣法説明(6).xlsx,0.0033,1,0.0033,耐久力=配置6人耐久力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
8,傾奇者,職業因縁,四象,地勢,殺陣,,0.33%,知力,陣法説明(6).xlsx,0.0033,1,0.0033,知力=配置6人知力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
8,傾奇者,職業因縁,四象,地勢,殺陣,,0.55%,土属性,陣法説明(6).xlsx,0.0055,1,0.0055,土属性=配置6人土属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
8,傾奇者,職業因縁,四象,地勢,殺陣,,0.55%,水属性,陣法説明(6).xlsx,0.0055,1,0.0055,水属性=配置6人水属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
8,傾奇者,職業因縁,四象,地勢,殺陣,,0.55%,火属性,陣法説明(6).xlsx,0.0055,1,0.0055,火属性=配置6人火属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
8,傾奇者,職業因縁,四象,地勢,殺陣,,0.55%,風属性,陣法説明(6).xlsx,0.0055,1,0.0055,風属性=配置6人風属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
9,武士道の絆,特化因縁,武士道,武士道,武士道,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
9,武士道の絆,特化因縁,武士道,武士道,武士道,,0.75%,気合,陣法説明(6).xlsx,0.0075,1,0.0075,気合=配置6人気合合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
9,武士道の絆,特化因縁,武士道,武士道,武士道,,0.55%,耐久力,陣法説明(6).xlsx,0.0055,1,0.0055,耐久力=配置6人耐久力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
9,武士道の絆,特化因縁,武士道,武士道,武士道,,0.55%,魅力,陣法説明(6).xlsx,0.0055,1,0.0055,魅力=配置6人魅力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
10,武芸の絆,特化因縁,武芸,武芸,武芸,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
10,武芸の絆,特化因縁,武芸,武芸,武芸,,0.55%,腕力,陣法説明(6).xlsx,0.0055,1,0.0055,腕力=配置6人腕力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
10,武芸の絆,特化因縁,武芸,武芸,武芸,,0.55%,耐久力,陣法説明(6).xlsx,0.0055,1,0.0055,耐久力=配置6人耐久力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
10,武芸の絆,特化因縁,武芸,武芸,武芸,,0.55%,器用さ,陣法説明(6).xlsx,0.0055,1,0.0055,器用さ=配置6人器用さ合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
11,軍学の絆,特化因縁,軍学,軍学,軍学,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
11,軍学の絆,特化因縁,軍学,軍学,軍学,,0.55%,耐久力,陣法説明(6).xlsx,0.0055,1,0.0055,耐久力=配置6人耐久力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
11,軍学の絆,特化因縁,軍学,軍学,軍学,,0.55%,知力,陣法説明(6).xlsx,0.0055,1,0.0055,知力=配置6人知力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
11,軍学の絆,特化因縁,軍学,軍学,軍学,,0.55%,魅力,陣法説明(6).xlsx,0.0055,1,0.0055,魅力=配置6人魅力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
12,僧兵の絆,特化因縁,僧兵,僧兵,僧兵,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
12,僧兵の絆,特化因縁,僧兵,僧兵,僧兵,,0.55%,腕力,陣法説明(6).xlsx,0.0055,1,0.0055,腕力=配置6人腕力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
12,僧兵の絆,特化因縁,僧兵,僧兵,僧兵,,0.55%,耐久力,陣法説明(6).xlsx,0.0055,1,0.0055,耐久力=配置6人耐久力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
12,僧兵の絆,特化因縁,僧兵,僧兵,僧兵,,0.55%,知力,陣法説明(6).xlsx,0.0055,1,0.0055,知力=配置6人知力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
13,仏門の絆,特化因縁,仏門,仏門,仏門,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
13,仏門の絆,特化因縁,仏門,仏門,仏門,,0.75%,気合,陣法説明(6).xlsx,0.0075,1,0.0075,気合=配置6人気合合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
13,仏門の絆,特化因縁,仏門,仏門,仏門,,0.55%,知力,陣法説明(6).xlsx,0.0055,1,0.0055,知力=配置6人知力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
13,仏門の絆,特化因縁,仏門,仏門,仏門,,0.55%,魅力,陣法説明(6).xlsx,0.0055,1,0.0055,魅力=配置6人魅力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
14,密教の絆,特化因縁,密教,密教,密教,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
14,密教の絆,特化因縁,密教,密教,密教,,0.55%,知力,陣法説明(6).xlsx,0.0055,1,0.0055,知力=配置6人知力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
14,密教の絆,特化因縁,密教,密教,密教,,0.55%,魅力,陣法説明(6).xlsx,0.0055,1,0.0055,魅力=配置6人魅力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
14,密教の絆,特化因縁,密教,密教,密教,,0.55%,土属性,陣法説明(6).xlsx,0.0055,1,0.0055,土属性=配置6人土属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
14,密教の絆,特化因縁,密教,密教,密教,,0.55%,水属性,陣法説明(6).xlsx,0.0055,1,0.0055,水属性=配置6人水属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
14,密教の絆,特化因縁,密教,密教,密教,,0.55%,火属性,陣法説明(6).xlsx,0.0055,1,0.0055,火属性=配置6人火属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
14,密教の絆,特化因縁,密教,密教,密教,,0.55%,風属性,陣法説明(6).xlsx,0.0055,1,0.0055,風属性=配置6人風属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
15,神道の絆,特化因縁,神道,神道,神道,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
15,神道の絆,特化因縁,神道,神道,神道,,0.55%,腕力,陣法説明(6).xlsx,0.0055,1,0.0055,腕力=配置6人腕力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
15,神道の絆,特化因縁,神道,神道,神道,,0.55%,器用さ,陣法説明(6).xlsx,0.0055,1,0.0055,器用さ=配置6人器用さ合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
15,神道の絆,特化因縁,神道,神道,神道,,0.55%,知力,陣法説明(6).xlsx,0.0055,1,0.0055,知力=配置6人知力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
16,古神道の絆,特化因縁,古神道,古神道,古神道,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
16,古神道の絆,特化因縁,古神道,古神道,古神道,,0.75%,気合,陣法説明(6).xlsx,0.0075,1,0.0075,気合=配置6人気合合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
16,古神道の絆,特化因縁,古神道,古神道,古神道,,0.55%,知力,陣法説明(6).xlsx,0.0055,1,0.0055,知力=配置6人知力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
16,古神道の絆,特化因縁,古神道,古神道,古神道,,0.55%,土属性,陣法説明(6).xlsx,0.0055,1,0.0055,土属性=配置6人土属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
16,古神道の絆,特化因縁,古神道,古神道,古神道,,0.55%,水属性,陣法説明(6).xlsx,0.0055,1,0.0055,水属性=配置6人水属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
16,古神道の絆,特化因縁,古神道,古神道,古神道,,0.55%,火属性,陣法説明(6).xlsx,0.0055,1,0.0055,火属性=配置6人火属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
16,古神道の絆,特化因縁,古神道,古神道,古神道,,0.55%,風属性,陣法説明(6).xlsx,0.0055,1,0.0055,風属性=配置6人風属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
17,雅楽の絆,特化因縁,雅楽,雅楽,雅楽,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
17,雅楽の絆,特化因縁,雅楽,雅楽,雅楽,,0.55%,知力,陣法説明(6).xlsx,0.0055,1,0.0055,知力=配置6人知力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
17,雅楽の絆,特化因縁,雅楽,雅楽,雅楽,,0.55%,魅力,陣法説明(6).xlsx,0.0055,1,0.0055,魅力=配置6人魅力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
17,雅楽の絆,特化因縁,雅楽,雅楽,雅楽,,0.55%,土属性,陣法説明(6).xlsx,0.0055,1,0.0055,土属性=配置6人土属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
17,雅楽の絆,特化因縁,雅楽,雅楽,雅楽,,0.55%,水属性,陣法説明(6).xlsx,0.0055,1,0.0055,水属性=配置6人水属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
17,雅楽の絆,特化因縁,雅楽,雅楽,雅楽,,0.55%,火属性,陣法説明(6).xlsx,0.0055,1,0.0055,火属性=配置6人火属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
17,雅楽の絆,特化因縁,雅楽,雅楽,雅楽,,0.55%,風属性,陣法説明(6).xlsx,0.0055,1,0.0055,風属性=配置6人風属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
18,陰陽道の絆,特化因縁,陰陽道,陰陽道,陰陽道,,0.70%,生命,陣法説明(6).xlsx,0.007,1,0.007,生命=配置6人生命合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
18,陰陽道の絆,特化因縁,陰陽道,陰陽道,陰陽道,,0.55%,知力,陣法説明(6).xlsx,0.0055,1,0.0055,知力=配置6人知力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
18,陰陽道の絆,特化因縁,陰陽道,陰陽道,陰陽道,,0.55%,魅力,陣法説明(6).xlsx,0.0055,1,0.0055,魅力=配置6人魅力合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
18,陰陽道の絆,特化因縁,陰陽道,陰陽道,陰陽道,,0.55%,土属性,陣法説明(6).xlsx,0.0055,1,0.0055,土属性=配置6人土属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
18,陰陽道の絆,特化因縁,陰陽道,陰陽道,陰陽道,,0.55%,水属性,陣法説明(6).xlsx,0.0055,1,0.0055,水属性=配置6人水属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
18,陰陽道の絆,特化因縁,陰陽道,陰陽道,陰陽道,,0.55%,火属性,陣法説明(6).xlsx,0.0055,1,0.0055,火属性=配置6人火属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
18,陰陽道の絆,特化因縁,陰陽道,陰陽道,陰陽道,,0.55%,風属性,陣法説明(6).xlsx,0.0055,1,0.0055,風属性=配置6人風属性合計×因縁倍率,陣形値=因縁値合算×陣形倍率,Σ floor(配置6人合計×因縁倍率)→floor(因縁合算×陣形倍率)
