因縁種類,因縁名,因子1,因子2,因子3,因縁効果,,,
特殊因縁,立役者,知将,外交官,名臣,生命力,知力,,魅力・四象
特殊因縁,謀略家,知将,野心家,世渡り上手,生命力,知力,,腕力・四象
特殊因縁,戦場の華,女傑,猛将,洒落者,生命力,魅力,,腕力・知力
特殊因縁,影の者,忍び,内助の功,世渡り上手,生命力,器用さ,,気合・魅力
特殊因縁,文明開化,文化人,外交官,洒落者,生命力,,知力・魅力・四象,
特殊因縁,豪傑,女傑,剣豪,鬼,生命力,腕力,,気合・器用さ
特殊因縁,奇襲,飛道具使い,忍び,剣豪,生命力,器用さ,,腕力・四象
特殊因縁,健康第一,長寿,神仏の徒,内助の功,生命力,,気合・耐久力・知力,
特殊因縁,籠城名手,名臣,神仏の徒,飛道具使い,生命力,耐久力,,器用さ・知力
特殊因縁,老練闊達,明敏,野心家,長寿,生命力・気合,,腕力・知力,
特殊因縁,一気呵成,宿将,鬼,忍び,生命力・腕力,,器用さ・魅力,
特殊因縁,泰然自若,根性,勇将,長寿,生命力・耐久力,,魅力・四象,
特殊因縁,技巧伝承,才腕,文化人,外交官,生命力・器用さ,,魅力・四象,
特殊因縁,才気煥発,明敏,野心家,神仏の徒,生命力・知力,,気合・魅力,
特殊因縁,王佐之才,宿将,名臣,内助の功,生命力・魅力,,耐久力・四象,
特殊因縁,流行創出,根性,文化人,洒落者,生命力・四象,,気合・知力,
特殊因縁,知勇兼備,才腕,勇将,知将,生命力,,気合・九光,
特殊因縁,山紫水明,文化人,仙道,四象,生命力,知力・四象,,器用さ
特殊因縁,硝煙弾雨,飛道具使い,鉄砲鍛冶,神道,生命力,気合・器用さ,,腕力
特殊因縁,生殺与奪,野心家,医学,暗殺術,生命力,知力・魅力,,四象
特殊因縁,勇猛果敢,猛将,武芸,僧兵,生命力,腕力・器用さ,,耐久力
特殊因縁,臥薪嘗胆,忍び,鎧鍛冶,修験道,生命力,耐久力・四象,,魅力
特殊因縁,花鳥風月,洒落者,雅楽,地勢,生命力,気合・魅力,,四象
特殊因縁,柔能制剛,知将,軍学,陰陽道,生命力,器用さ・知力,,耐久力
特殊因縁,能鷹隠爪,女傑,忍術,密教,生命力,耐久力・魅力,,知力
特殊因縁,天神地祇,世渡り上手,召喚術,神通力,生命力,魅力・四象,,気合
特殊因縁,竜飛鳳舞,剣豪,古神道,殺陣,生命力,腕力・知力,,器用さ
特殊因縁,衣鉢相伝,宿将,武士道,仏門,生命力,気合・耐久力,,腕力
特殊因縁,鎧袖一触,鬼,刀鍛冶,忍法,生命力,"	腕力・四象",,気合
特殊因縁,意気衝天,気鋭,勇将,女傑,生命力,気合,器用さ・知力,
特殊因縁,質実剛健,気鋭,内助の功,外交官,生命力,耐久力,魅力・四象,
特殊因縁,意気軒昂,信義,勇将,宿将,生命力,腕力,器用さ・魅力,
特殊因縁,日進月歩,信義,明敏,飛道具使い,生命力,器用さ,腕力・耐久力,
特殊因縁,雄材大略,博識,名臣,野心家,生命力,知力,気合・四象,
特殊因縁,摂理探究,博識,知将,神仏の徒,生命力,四象,腕力・知力,
特殊因縁,巧言令色,多才,長寿,世渡り上手,生命力,魅力,気合・耐久力,
特殊因縁,多芸多才,多才,才腕,洒落者,生命力,,九光,
