因縁名,発動因子,対象ステータス,倍率%
鬼の絆,鬼|鬼|鬼,耐久力,0.98
もののふ,勇将|猛将|鬼,生命,0.7
もののふ,勇将|猛将|鬼,腕力,0.98
もののふ,勇将|猛将|鬼,耐久力,0.48
もののふ,勇将|猛将|鬼,器用さ,0.48
健康第一,内助の功|神仏の徒|長寿,生命,0.7
健康第一,内助の功|神仏の徒|長寿,気合,0.9
健康第一,内助の功|神仏の徒|長寿,耐久力,0.66
健康第一,内助の功|神仏の徒|長寿,知力,0.66
泰然自若,勇将|根性|長寿,生命,0.7
泰然自若,勇将|根性|長寿,耐久力,1.32
泰然自若,勇将|根性|長寿,魅力,0.5
泰然自若,勇将|根性|長寿,土属性,0.5
泰然自若,勇将|根性|長寿,水属性,0.5
泰然自若,勇将|根性|長寿,火属性,0.5
泰然自若,勇将|根性|長寿,風属性,0.5
技巧伝承,外交官|才腕|文化人,生命,0.7
技巧伝承,外交官|才腕|文化人,器用さ,1.32
技巧伝承,外交官|才腕|文化人,魅力,0.5
技巧伝承,外交官|才腕|文化人,土属性,0.5
技巧伝承,外交官|才腕|文化人,水属性,0.5
技巧伝承,外交官|才腕|文化人,火属性,0.5
技巧伝承,外交官|才腕|文化人,風属性,0.5
才気煥発,明敏|神仏の徒|野心家,生命,0.7
才気煥発,明敏|神仏の徒|野心家,気合,0.68
才気煥発,明敏|神仏の徒|野心家,知力,1.32
才気煥発,明敏|神仏の徒|野心家,魅力,0.5
知勇兼備,勇将|才腕|知将,生命,0.7
知勇兼備,勇将|才腕|知将,腕力,0.44
知勇兼備,勇将|才腕|知将,器用さ,0.44
知勇兼備,勇将|才腕|知将,知力,0.44
勇猛果敢,僧兵|武芸|猛将,生命,0.77
勇猛果敢,僧兵|武芸|猛将,腕力,0.82
勇猛果敢,僧兵|武芸|猛将,耐久力,0.22
勇猛果敢,僧兵|武芸|猛将,器用さ,0.82
花鳥風月,洒落者|能楽|雅楽,生命,0.77
花鳥風月,洒落者|能楽|雅楽,気合,1.13
花鳥風月,洒落者|能楽|雅楽,知力,0.82
花鳥風月,洒落者|能楽|雅楽,土属性,0.22
花鳥風月,洒落者|能楽|雅楽,水属性,0.22
花鳥風月,洒落者|能楽|雅楽,火属性,0.22
花鳥風月,洒落者|能楽|雅楽,風属性,0.22
柔能制剛,知将|軍楽|陰陽道,生命,0.77
柔能制剛,知将|軍楽|陰陽道,耐久力,0.22
柔能制剛,知将|軍楽|陰陽道,器用さ,0.82
柔能制剛,知将|軍楽|陰陽道,知力,0.82
能鷹隠爪,女傑|忍術|密教,生命,0.77
能鷹隠爪,女傑|忍術|密教,知力,0.22
能鷹隠爪,女傑|忍術|密教,魅力,0.82
天神地祇,世渡り上手|召喚術|神通力,生命,0.77
天神地祇,世渡り上手|召喚術|神通力,気合,0.3
天神地祇,世渡り上手|召喚術|神通力,魅力,0.82
天神地祇,世渡り上手|召喚術|神通力,土属性,0.82
天神地祇,世渡り上手|召喚術|神通力,水属性,0.82
天神地祇,世渡り上手|召喚術|神通力,火属性,0.82
天神地祇,世渡り上手|召喚術|神通力,風属性,0.82
龍飛鳳舞,外交官|文化人|洒落者,生命,0.77
龍飛鳳舞,外交官|文化人|洒落者,腕力,0.82
龍飛鳳舞,外交官|文化人|洒落者,器用さ,0.22
龍飛鳳舞,外交官|文化人|洒落者,知力,0.82
衣鉢相伝,仏門|宿将|武士道,生命,0.77
衣鉢相伝,仏門|宿将|武士道,気合,1.13
衣鉢相伝,仏門|宿将|武士道,腕力,0.22
衣鉢相伝,仏門|宿将|武士道,耐久力,0.82
鎧袖一触,刀鍛冶|忍法|鬼,生命,0.77
鎧袖一触,刀鍛冶|忍法|鬼,気合,0.3
鎧袖一触,刀鍛冶|忍法|鬼,腕力,0.82
鎧袖一触,刀鍛冶|忍法|鬼,土属性,0.82
鎧袖一触,刀鍛冶|忍法|鬼,水属性,0.82
鎧袖一触,刀鍛冶|忍法|鬼,火属性,0.82
鎧袖一触,刀鍛冶|忍法|鬼,風属性,0.82
明敏の絆,明敏|明敏|明敏,生命,0.84
明敏の絆,明敏|明敏|明敏,気合,1.35
明敏の絆,明敏|明敏|明敏,知力,0.98
宿将の絆,宿将|宿将|宿将,生命,0.84
宿将の絆,宿将|宿将|宿将,腕力,0.98
宿将の絆,宿将|宿将|宿将,魅力,0.98
根性の絆,根性|根性|根性,生命,0.84
根性の絆,根性|根性|根性,耐久力,0.98
根性の絆,根性|根性|根性,土属性,0.98
根性の絆,根性|根性|根性,水属性,0.98
根性の絆,根性|根性|根性,火属性,0.98
根性の絆,根性|根性|根性,風属性,0.98
才腕の絆,才腕|才腕|才腕,生命,0.84
才腕の絆,才腕|才腕|才腕,器用さ,0.98
才腕の絆,才腕|才腕|才腕,土属性,0.98
才腕の絆,才腕|才腕|才腕,水属性,0.98
才腕の絆,才腕|才腕|才腕,火属性,0.98
才腕の絆,才腕|才腕|才腕,風属性,0.98
意気衝天,勇将|女傑|忍術,生命,0.84
意気衝天,勇将|女傑|忍術,気合,1.65
意気衝天,勇将|女傑|忍術,器用さ,0.6
意気衝天,勇将|女傑|忍術,知力,0.6
質実剛健,気鋭|内助の功|外交官,生命,0.84
質実剛健,気鋭|内助の功|外交官,耐久力,1.2
質実剛健,気鋭|内助の功|外交官,魅力,0.6
質実剛健,気鋭|内助の功|外交官,土属性,0.6
質実剛健,気鋭|内助の功|外交官,水属性,0.6
質実剛健,気鋭|内助の功|外交官,火属性,0.6
質実剛健,気鋭|内助の功|外交官,風属性,0.6
意気軒昂,信義|勇将|宿将,生命,0.84
意気軒昂,信義|勇将|宿将,腕力,1.2
意気軒昂,信義|勇将|宿将,器用さ,0.6
意気軒昂,信義|勇将|宿将,魅力,0.6
日進月歩,信義|明敏|飛道具使い,生命,0.84
日進月歩,信義|明敏|飛道具使い,腕力,0.6
日進月歩,信義|明敏|飛道具使い,耐久力,0.6
日進月歩,信義|明敏|飛道具使い,器用さ,1.2
雄材大略,博識|名臣|野心家,生命,0.84
雄材大略,博識|名臣|野心家,気合,0.83
雄材大略,博識|名臣|野心家,知力,1.2
雄材大略,博識|名臣|野心家,土属性,0.6
雄材大略,博識|名臣|野心家,水属性,0.6
雄材大略,博識|名臣|野心家,火属性,0.6
雄材大略,博識|名臣|野心家,風属性,0.6
摂理探究,博識|知将|神仏の徒,生命,0.84
摂理探究,博識|知将|神仏の徒,知力,0.6
巧言令色,多才|長寿|世渡り上手,生命,0.84
巧言令色,多才|長寿|世渡り上手,気合,0.83
巧言令色,多才|長寿|世渡り上手,耐久力,0.6
巧言令色,多才|長寿|世渡り上手,魅力,1.2
多芸多才,多才|才腕|洒落者,生命,0.84
多芸多才,多才|才腕|洒落者,土属性,0.6
多芸多才,多才|才腕|洒落者,水属性,0.6
多芸多才,多才|才腕|洒落者,火属性,0.6
多芸多才,多才|才腕|洒落者,風属性,0.6
