コスト,名前,職業,因子1,因子2,因子3,因子4,生命,気合,腕力,耐久力,器用さ,知力,魅力,土属性,水属性,火属性,風属性,育成技能１,育成技能２,育成技能３,追加・更新,技能,詳細
7,斎藤義龍,鍛冶屋,刀鍛冶,野心家,猛将,,41334,21515,2947,2285,2210,1514,2614,2652,2697,2633,2670,腕力上昇Lv.5,生命上昇Lv.3,腕力上昇率向上Lv.1,2026/2/11,玄龍破天,敵単体に蓄積値を増幅して放出する近接攻撃と固定ダメージを与え、強結界・強術結界を破壊し、特大土属性呪詛を付与。味方の生命力が50%以下で蓄積値を上昇させる追加行動を行う。
7,前田利家,傾奇者,四象,博識,洒落者,世渡り上手,36749,19474,3100,1510,1963,1987,2487,2378,2176,2961,2272,生命上昇Lv.5,腕力上昇Lv.3,火属性上昇Lv.1,2026/2/4,剛槍破断,敵単体に一部の結界を無視する近接物理攻撃を行い、与ダメージを低下させる。力溜めを1回蓄積し、2回蓄積すると追加行動を行う。
7,安国寺恵瓊,僧,密教,名臣,外交官,,35859,22911,1865,2435,1937,2891,3075,2289,2296,2153,2132,耐久上昇Lv.5,耐久上昇率向上Lv.3,魅力上昇Lv.1,2026/2/4,折衝禦侮,敵単体に無属性術攻撃を行い、種族を死人に変更する。霊種族に追加ダメージ。味方全体の生命力を回復し、防御力を上昇させる。
6,上杉憲政,僧,僧兵,野心家,神仏の徒,,32957,15661,2603,1636,1600,1426,1349,1872,2037,1864,1862,生命上昇Lv.1,生命上昇率向上Lv.1,,2026/2/4,関東管領の威,敵単体に近接攻撃を行い、付与を2個消し、種族を死人に変更する。死人種族に追加ダメージ。
8,武田晴信,侍,軍学,神仏の徒,気鋭,野心家,40234,18242,2346,1983,2026,2918,2106,3003,2957,2820,2812,知力上昇率向上Lv.5,土属性上昇Lv.3,知力上昇Lv.1,2025/12/31,甲州の虎変,敵単体に土属性術攻撃を行い、一定時間行動不能にする。敵全体に土属性術攻撃を行い、自身の生命力最大値・属性値に応じて威力上昇。術耐性を低下させる。
7,三条の方,僧,仏門,女傑,内助の功,ー,37441,28385,2073,2116,1638,2844,3087,2291,2476,2282,2384,気合上昇Lv.5,生命上昇Lv.3,魅力上昇Lv.1,2025/12/31,花菱の奉祝,味方全体の最大気合を増加させ、気合を回復し、攻撃力・知力を上昇させる。味方全体に物理・術被害軽減の結界を張る。使用後、一定時間後に追加行動を行う。
7,堀秀政,傾奇者,地勢,才腕,外交官,多才,37721,24794,2236,1973,2365,2888,3071,2559,2665,2973,3000,風属性上昇Lv.5,魅力上昇Lv.3,風属性上昇率向上Lv.1,2025/12/17,名人太郎の舞,味方全体の気合を回復し、攻撃力・命中力・回避力を上げる。さらに標的固定状態を解除し、標的固定耐性と風属性の槌効果を付与する。
,雫の者,薬師,医学,女傑,根性,内助の功,38792,20945,1575,2132,1705,2826,3178,2682,2977,2362,2079,魅力上昇Lv.5,生命上昇Lv.3,水属性上昇Lv.1,2025/12/17,零れ落ちる雫,味方全体の生命力の最大値を上げ、生命力を回復する。さらに衝撃誘爆状態・属性蓄積状態を1つ、呪詛を2つ解除する。
8,伊達政宗(起源),侍,武芸,才腕,野心家,気鋭,37926,21089,3236,1774,2021,2299,2499,2546,2676,2595,2510,腕力上昇Lv.5,生命上昇Lv.3,火属性上昇Lv.1,2025/12/17,天叢雲炎墜,敵単体に近接攻撃、高確率で沈黙状態にする。敵全体に間接攻撃、火属性の衝撃誘爆状態を付与。敵が沈黙、麻痺、継続ダメージ状態になった時２回まで敵全体に追加攻撃。
7,北条氏照(剛柔),陰陽師,陰陽道,知将,外交官,,33203,21566,1394,2088,1758,2930,3085,2900,2591,2554,2636,知力上昇率向上Lv.5,知力上昇Lv.3,土属性上昇Lv.1,2025/12/17,稲妻如意陣,敵単体と敵全体に土属性術攻撃を行い、術耐性を低下させる。陰陽煉気を最大５まで蓄積し、陰陽煉気に応じてダメージ上昇。陰陽煉気最大時、自身の術威力と属性値上昇。
7,甲斐宗運,僧,密教,宿将,神仏の徒,,37790,20905,2482,2369,1937,2700,2878,2502,2659,2635,2618,耐久上昇Lv.5,耐久上昇率向上Lv.3,魅力上昇率向上Lv.1,2025/12/17,揺るがぬ柱石,自身が一定時間無敵状態となる。敵単体の注意を一定時間引きつける。味方全体の物理・術耐性を上昇させ、被回復量を大きく上昇させる。
8,佐竹義重,侍,武芸,才腕,勇将,,36581,19527,2968,1897,2327,2811,2919,2408,2502,2821,2616,腕力上昇Lv.5,生命上昇Lv.3,器用上昇率向上Lv.1,2025/12/17,鬼義重の一振,敵単体に近接攻撃、生命力を吸収、物理・術耐性を低下。全体に火属性術攻撃し、自陣営の士気玉を1つ追加。
7,片倉景綱,神主・巫女,古神道,名臣,,,30828,23432,1621,1305,1308,1906,2205,1467,1320,1250,1515,気合上昇率向上Lv.5,魅力修練上昇Lv.3,知力修練上昇Lv.1,2025/12/17,小十郎の軍略,味方2人の標的固定状態を解除し、標的固定耐性と攻撃にダメージを追加する状態を付与。重ねがけで効果が上昇。
8,今川義元,陰陽師,陰陽道,文化人,多才,,27891,18115,1189,1653,1343,2040,2865,1544,2842,1483,1530,知力上昇,知力修練上昇,,2025/12/17,海道一の弓取,敵単体に妖術攻撃を行い、味方全体の生命力を回復し、攻撃力、防御力、属性値を上昇。鬼種族に追加ダメージ。
6,平手政秀,陰陽師,仙道,名臣,信義,,19872,19075,662,1159,907,2243,1701,1436,790,750,1332,魅力上昇率向上,知力修練上昇,,2025/12/17,爺の説教地獄,敵単体に蓄積値に応じた無属性術攻撃を行い、状態レベル2の四属性呪詛を付与する。
7,島津家久,鍛冶屋,鉄砲鍛冶,勇将,,,27885,13915,2095,1797,1545,956,1886,917,946,1118,1196,耐久上昇率向上Lv.5,耐久上昇Lv.3,,2025/12/17,釣り野伏掃射,敵全体に間接攻撃を行う。標的固定状態の敵に攻撃した場合、追加ダメージを与え、行動不能にする場合がある。
8,上杉謙信,僧,仏門,勇将,信義,,26936,15587,1759,1699,1215,2222,2058,1169,1471,1119,1430,生命上昇,,,2025/12/17,毘沙門の威力,敵全体に無属性ダメージを与える。さらに、解除可能な結界と付与をすべて解除する。
8,長宗我部元親,鍛冶屋,刀鍛冶,鬼,,勇将,37047,13937,2076,2183,1424,1144,2258,1018,1561,999,968,水属性上昇率向上Lv.5,水属性上昇Lv.3,,2025/12/17,神破りの鋭鋒,"蓄積値を3000残して消費し、消費蓄積値を2倍に増幅して放出する近接攻撃を行う。 神種族に追加ダメージ。"
8,本願寺顕如,僧,仏門,神仏の徒,博識,,31515,19361,2167,1761,1193,2098,1980,1169,1716,1119,1192,気合上昇,,,2025/12/17,,
7,吉川元春,僧,僧兵,猛将,,気鋭,35606,16698,2871,2054,2124,2524,2827,1265,1636,1177,1312,腕力上昇率向上Lv.5,魅力上昇率向上Lv.3,魅力上昇Lv.1,2025/12/17,三子教訓の勇,敵単体に近接攻撃を行う。対象の生命力が50％以上の場合威力上昇。味方全体の生命力を回復し、自身に気合ダメージを受けた時に追加行動を行う状態を付与。
7,黒百合(納涼),傾奇者,四象,才腕,女傑,博識,34827,20972,2463,1383,1918,2390,2317,2629,3046,2584,2612,水属性上昇Lv.5,生命修練上昇Lv.3,水属性上昇率向上Lv.1,2025/12/17,夏空奇想曲,自身の最高属性と同属性の追加ダメージ効果と物理・術被害軽減の結界を味方単体に付与、対象の属性呪詛をすべて解除する。自身の最高属性と同属性の四象を上げる。
7,丹羽長秀(風雲),薬師,修験道,名臣,知将,,33239,21459,1148,2143,1939,2829,2946,2018,2810,2827,2004,知力上昇Lv.5,火属性上昇率向上Lv.3,水属性上昇率向上Lv.1,2025/12/17,五郎佐の采配,味方全体の生命力を回復し、物理・術耐性と属性値を上昇させる。
7,直江兼続(王佐),陰陽師,陰陽道,名臣,文化人,信義,35063,23809,1816,2157,1929,2912,3041,2882,2742,2702,2789,知力上昇Lv.5,知力上昇率向上Lv.3,知力修練志向Lv.1,2025/12/17,愛染の真言,敵全体に土属性術攻撃を行い、物理・術耐性を低下させ、確率で対象の目標をランダム化する。
6,安宅冬康,鍛冶屋,鎧鍛冶,知将,多才,,31889,12216,1231,2000,1163,879,1900,767,777,870,758,"耐久修練志向Lv.1 ",魅力修練上昇Lv.1,,2025/12/17,淡路流鉄砲術,"敵全体に間接攻撃を行い、自身の防御力を上昇させる。 "
6,稲葉一鉄,僧,僧兵,猛将,博識,,22887,12046,1607,1192,1053,1178,1214,860,760,700,703,魅力修練上昇Lv.1,,2026/2/5,頑固一徹,敵全体の注意を一定時間引きつけ、自身の防御力、命中力、回避力、属性値を上げる。,
6,斎藤朝信,侍,武芸,名臣,信義,,23409,12142,1921,1092,1264,828,1408,688,697,825,682,魅力修練志向,,,2025/12/17,,
6,支倉常長,侍,武士道,外交官,博識,,18183,14671,2607,1224,1210,1378,1268,768,899,707,732,腕力上昇率向上,,,2025/12/17,,
6,十河一存,侍,武芸,鬼,気鋭,,23409,12142,2189,982,1218,921,1408,688,697,825,682,腕力修練上昇,,,2025/12/17,,
6,北条氏邦,侍,武芸,世渡り上手,多才,根性,23409,12142,2246,982,1150,921,1408,688,844,682,682,器用上昇率向上,,,2025/12/17,,
6,井伊直政,侍,武芸,猛将,気鋭,,23409,12142,2113,1092,1035,921,1408,688,697,825,682,腕力修練上昇,,,2025/12/17,赤備えの決意,
6,谷忠澄,傾奇者,殺陣,多才,外交官,,,,,,,,,,,,,,,,2025/12/17,,
6,伊奈忠次,陰陽師,召喚術,博識,文化人,,,,,,,,,,,,,,,,2025/12/17,,
6,唐沢玄蕃,忍者,暗殺術,気鋭,忍び,,,,,,,,,,,,,,,,2025/12/17,,
6,御子神典膳,侍,武芸,信義,剣豪,,,,,,,,,,,,,,,,2025/12/17,,
5,大熊朝秀,僧,修験,多才,,,,,,,,,,,,,,,,,2025/12/17,,
5,関口氏広,陰陽師,仙道,多才,,,,,,,,,,,,,,,,,2025/12/17,,
5,岡国高,鍛冶屋,鎧鍛冶,博識,,,,,,,,,,,,,,,,,2025/12/17,,
5,鈴木元信,薬師,医術,博識,,,,,,,,,,,,,,,,,2025/12/17,,
5,渡辺了,侍,軍学,気鋭,,,,,,,,,,,,,,,,,2025/12/17,,
5,安藤良整,僧,仏門,気鋭,,,,,,,,,,,,,,,,,2025/12/17,,
5,大沢正秀,鍛冶屋,刀鍛冶,信義,,,,,,,,,,,,,,,,,2025/12/17,,
5,下間頼竜,僧,僧兵,信義,,,,,,,,,,,,,,,,,2025/12/17,,
7,斎藤利三,陰陽師,召喚術,世渡り上手,知将,才腕,34843,22477,1537,2020,1563,2854,2759,2340,2977,2869,2417,知力上昇率向上Lv.5,水属性上昇Lv.3,火属性上昇Lv.1,2025/12/3,凍ゆる華炎,敵単体と敵全体に水属性術攻撃を行う。自身が召喚中の式神がいない場合、式神の召喚を行う。さらに式神の行動速度と、自身の術攻撃力を上昇させる。
7,織田信忠,薬師,神通力,明敏,名臣,,38950,21254,1481,2032,2026,2802,2928,2249,2220,2148,2159,生命上昇Lv.5,生命修練志向Lv.3,生命上昇率向上Lv.1,2025/12/3,布武の導き手,味方単体の生命力を効果特大の継続回復状態にする。味方全体の生命力を回復し、物理・術耐性を上昇させる。
6,大野治長,薬師,神通力,世渡り上手,文化人,,27681,17891,1480,1822,2047,1825,2456,1829,1603,1603,1553,魅力上昇Lv.1,魅力修練志向Lv.1,,2025/12/3,近侍の務め,味方全体の生命を回復し、継続回復状態にする。
6,早川殿,陰陽師,召喚術,外交官,内助の功,,33074,20655,735,1659,1858,2435,2714,2207,2121,1927,2215,"生命上昇Lv.3 ",魅力上昇率向上Lv.1,,2025/12/3,早川の風巻,敵全体に風属性術攻撃を行う。
6,武田信繁,薬師,神通力,名臣,,,25622,13350,771,1412,940,2022,2563,1409,1112,1093,941,"土属性上昇率向上Lv.1 ",,,2025/12/3,武田軍略・風,味方全体の生命力を回復し、生命継続回復状態を付与する。
6,庵原将監,陰陽師,召喚術,名臣,,,20338,11736,608,891,648,1503,1329,1036,853,718,824,"知力修練上昇Lv.1 ",,,2025/12/3,破界の風,"敵全体に風属性の妖術を放ち、結界を解除し、物理耐性低下状態を付与する。 "
7,林崎甚助,侍,武芸,剣豪,明敏,長寿,34967,19839,3258,1788,2146,2219,2534,2387,2339,2164,2510,腕力上昇率向上Lv.5,腕力上昇Lv.3,生命上昇Lv.1,2025/11/5,電瞬抜刀,敵全体に間接攻撃を行い、物理・術耐性を低下させる。対象の生命力割合に応じて威力上昇。戦闘開始時、自身に強力な初撃効果を付与。
7,直江景綱,神主・巫女,古神道,外交官,名臣,,37304,30158,1964,1761,1883,2629,2728,2587,2376,2262,2756,気合上昇Lv.5,気合修練志向Lv.3,気合上昇率向上Lv.1,2025/11/5,宿老の知恵,味方全体の攻撃力・知力・魅力を上昇させ、行動気合回復状態を付与。自身に連続行動不能耐性と、味方が麻痺、魅了、睡眠を受けた時に追加行動を行う状態を付与。
6,山上道及,傾奇者,殺陣,猛将,世渡り上手,,32711,15744,3014,1574,2128,1569,1372,1952,1920,1884,1920,腕力上昇Lv.1,腕力修練志向Lv.1,,2025/11/5,百斬練磨,敵単体に結界を破壊する近接物理攻撃を行い、物理・術耐性を低下させる。
8,雑賀孫市(道化),鍛冶屋,鉄砲鍛冶,飛道具使い,才腕,洒落者,36406,20162,2921,2300,2035,1756,2675,2048,2125,2644,2219,"耐久上昇Lv.5 ",腕力上昇Lv.3,耐久上昇率向上Lv.1,2025/10/22,眩惑花火弾,"敵単体に間接攻撃を行い、種族を憑き物に変更する。敵全体に間接攻撃を行い、憑き物種族に追加ダメージ、確率で一定時間傀儡状態にする。 "
7,望月千代女(道化),神主・巫女,古神道,世渡り上手,女傑,,36009,28640,1964,1970,1975,2824,3076,2614,2424,2319,2756,魅力上昇Lv.5,気合上昇率向上Lv.3,気合修練志向Lv.1,2025/10/22,月輪七曜の法,味方3人に、2度まで消費気合が0になる状態と追加ダメージ効果を付与し、呪詛を2つ解除する。使用後、一定間隔で追加行動を行う。
7,鍋島直茂,侍,軍学,名臣,知将,,38827,21083,2681,2097,2157,2918,3094,2321,2425,2274,2482,知力上昇率向上Lv.5,知力上昇Lv.3,生命上昇Lv.1,2025/10/1,裏葉隠・雲居,味方単体に一定時間不死状態を付与する。味方全体にダメージ軽減の特殊状態と物理・術耐性上昇を付与し、与ダメージ増加・被ダメージ減少の陣営技能を発動する。
8,島津義久,陰陽師,陰陽道,明敏,世渡り上手,知将,35328,27777,2010,2175,2014,2893,2909,2608,2742,2636,3027,知力上昇Lv.5,風属性上昇率向上Lv.5,気合上昇率向上Lv.1,2025/10/1,烈風滅気撃,敵単体と敵全体に風属性術攻撃を行い、気合ダメージと風属性呪詛を与える。自身の玄女式効果上昇。
7,蜂須賀正勝,傾奇者,地勢,名臣,才腕,世渡り上手,38280,24794,2934,2005,2056,2594,2506,2996,2619,2535,2894,腕力上昇Lv.5,腕力上昇率向上Lv.3,土属性上昇Lv.1,2025/9/24,楼岸一番槍,敵単体に近接攻撃を行い、付与を2個消し、四象(土)の力を1個蓄積する。敵全体に間接攻撃を行い、物理・術耐性を低下させる。
7,前田利家(兎忍),侍,武芸,猛将,,洒落者,39002,17652,2834,1542,2091,2044,1852,1220,1305,1184,1118,"生命上昇Lv.5 ","生命修練志向Lv.3 ","生命上昇率向上Lv.1 ",2025/9/24,勇名無双,"敵単体に強力な近接攻撃を行う。生命力が50％以上の敵を攻撃するとダメージ追加。 "
7,納涼忍お綾,忍者,忍術,才腕,女傑,洒落者,31789,20182,3146,1590,2649,2414,2311,2176,2072,2269,2363,"知力上昇Lv.5 ","器用上昇Lv.3 ","魅力上昇率向上Lv.1 ",2025/9/10,傾城の玉霰,"敵全体に疾風怒濤を増幅させた間接攻撃を行い、物理耐性を低下させる。自身の器用さを上げる。使用後、一定間隔で「減殺の術・煌」を発動する。 "
8,九鬼嘉隆,鍛冶屋,刀鍛冶,鬼,勇将,,40415,20162,2447,2428,2093,2890,2991,1909,2442,2290,2128,"生命上昇Lv.5 ","耐久上昇Lv.3 ","水属性上昇率向上Lv.1 ",2025/9/10,戦鬼の海牢,"敵全体に水属性術攻撃を行いつつ注意を引きつける。自身に物理・術被害軽減の結界を張り、防御力を上昇させる。自分の最も高い属性と同じ場の属性を徐々に上げる。 "
7,大谷吉継,薬師,神通力,"名臣 ",根性,,39211,21777,1782,2133,1866,2912,2486,2659,2638,2578,3022,"生命上昇Lv.5 ","風属性上昇Lv.3 ","知力上昇Lv.1 ",2025/9/3,無明合縦陣,"味方全体の生命力の最大値を上げ、生命力を回復し、攻撃力・知力・属性値を上昇させる。 "
7,島津豊久,鍛冶屋,鎧鍛冶,勇将,根性,,38919,18506,2588,2586,2089,2047,2465,1752,1650,1509,1629,耐久上昇率向上Lv.5,生命上昇Lv.3,耐久上昇Lv.1,2025/8/20,捨て奸の覚悟,敵全体に間接攻撃を行いつつ注意を引きつけ、単体術ダメージ低下状態を付与する。さらに自身の攻撃力・防御力を上昇させ、反射結界を張る。
6,伊賀崎道順,忍者,忍術,忍び,飛道具使い,,26033,13061,1690,1022,1712,2615,2101,1720,1690,2047,1865,知力上昇Lv.1,知力修練志向Lv.1,,2025/8/20,楯岡不知火,敵全体に火属性術攻撃を行い、自身の知力・魅力を上昇させる。
7,石川数正,薬師,修験道,外交官,野心家,才腕,35987,21118,1753,2160,1953,2926,2928,2834,2488,2504,2480,知力上昇Lv.5,知力修練志向Lv.3,生命上昇率向上Lv.1,2025/8/20,渦雷封縛陣,敵全体に土属性術攻撃を行い、土・火属性呪詛と、行動ごとに生命力と気合にダメージを与える状態を付与する。
6,赤尾清綱,薬師,修験道,名臣,,,26415,14368,800,1339,1096,1843,1638,891,873,889,1470,"生命修練上昇Lv.1 ",,,2025/8/20,海赤雨の将風,"敵全体に風属性の術攻撃を放ち、器用さを下げる呪詛効果を付加する。 "
6,望月吉棟,忍者,暗殺術,忍び,,,24591,11521,2392,985,1763,818,1454,750,764,768,782,器用上昇率向上Lv.1,"腕力上昇率向上Lv.1 ",,2025/8/20,兇殺の刃,"敵単体に守護術の影響を受けない近接攻撃を行う。 "
7,陶晴賢,陰陽師,陰陽道,才腕,野心家,,35860,26742,1621,2209,1953,2968,3129,2728,3093,2801,2891,知力上昇Lv.5,水属性上昇Lv.3,知力修練志向Lv.1,2025/8/6,興亡無常,敵単体に水属性術攻撃を行い、四象（水）の力を１個蓄積する。敵全体に水属性術攻撃を行い、物理・術耐性を低下させる。場の水属性を徐々に上げる。
7,山中鹿之介,侍,武芸,勇将,根性,猛将,36581,21402,3124,1897,2411,2219,2919,2132,2197,2800,2152,腕力上昇Lv.5,腕力上昇率向上Lv.3,生命修練上昇Lv.1,2025/8/6,閃く三日月,敵単体に近接攻撃を行い、四象（火）の力を１個蓄積する。敵全体に間接攻撃を行い、物理耐性を低下。自身の残り生命力に応じ威力増。自陣営の士気玉を１つ追加。
8,豊臣秀吉,侍,軍学,世渡り上手,野心家,才腕,38264,20336,2399,2229,1982,3006,2665,2598,2661,2843,2751,知力上昇率向上Lv.5,生命上昇Lv.3,知力上昇Lv.1,2025/7/2,天下惣無事,敵全体に火属性術攻撃を行う。自身の生命力割合に応じて威力上昇。さらに敵全体の知力・魅力・術耐性・与ダメージを低下させ、自身の攻撃術の効果を上昇させる。
7,高台院,神主・巫女,雅楽,内助の功,長寿,明敏,32208,25095,2018,1575,1396,2677,3094,2323,2123,2019,2168,知力上昇Lv.5,魅力上昇率向上Lv.3,魅力上昇Lv.1,2025/7/2,湖月遍照,味方全体の攻撃力・知力・魅力を上昇させ、３回まで被回復量を大きく上昇させる。さらに衝撃誘爆状態・属性蓄積状態を１つ解除し、呪詛を５つ解除する。
7,愛姫(起源),神主・巫女,神道,明敏,内助の功,,32130,25626,3147,1701,2117,2443,3085,2399,2353,2377,2462,知力上昇Lv.5,水属性上昇Lv.3,知力上昇率向上Lv.1,2025/6/4,三途の川渡り,ランダムな敵３体に間接攻撃を行い、継続ダメージを与える。敵が沈黙、麻痺、継続ダメージ状態になった時、２回まで味方全体の生命力を回復し、物理・術耐性を上昇。
7,毛利勝永,侍,軍学,勇将,根性,,40234,18541,2734,2245,1676,2109,2870,1674,1715,1616,1773,生命上昇Lv.5,生命修練志向Lv.3,生命上昇率向上Lv.1,2025/6/1,将星の血戦,敵全体に間接物理攻撃を行いつつ注意を引きつける。自身の残り生命力に応じ威力増。自身の生命力の最大値を上げ、生命力を回復する。
6,香宗我部親泰,侍,軍学,知将,才腕,,30103,13989,1544,1566,1300,1846,1987,1540,1800,1448,1550,知力上昇Lv.1,知力修練志向Lv.1,,2025/6/1,四海の潮鳴り,敵全体に水属性術攻撃を行い、術耐性を低下させる。
7,井伊直政(勇猛),侍,武芸,猛将,鬼,,32277,21870,3124,1774,2439,2703,2919,2334,2524,2832,2331,腕力上昇Lv.5,火属性上昇率向上Lv.3,火属性上昇Lv.1,2025/4/7,降三世劫火,敵全体に間接攻撃と火属性術攻撃、生命力が80%以上の敵に追加ダメージ。自身の知力・魅力を上昇、人間種族への与ダメージ増加状態を付与。場の火属性を徐々に上げる。
7,村上義清,僧,僧兵,猛将,根性,,32487,20123,3293,1602,2231,2461,2861,2102,2477,2334,2188,腕力上昇Lv.5,腕力修練志向Lv.3,魅力上昇率向上Lv.1,2025/4/7,一騎断魂,敵単体に近接攻撃を行い、蘇生不可状態にする。味方全体の攻撃力と物理・術耐性を上昇させる。
6,渡辺守綱,侍,武芸,猛将,長寿,,31133,16393,2401,1146,1897,1290,2451,1522,1580,1514,1509,腕力上昇Lv.1,腕力修練志向Lv.1,,2025/4/7,槍半蔵疾槍破,敵全体に間接物理攻撃を行う。鬼種族に追加ダメージ。
6,豊臣秀次,薬師,医学,知将,文化人,,29346,16900,1052,1474,1774,2515,2608,1701,1775,1696,1694,知力上昇Lv.1,知力修練志向Lv.1,,2025/1/23,古典の教え,味方全体の生命力を最大値を超えて回復する。
7,細川忠興(山紫),陰陽師,仙道,鬼,文化人,,31107,22707,2092,1773,2163,2950,2853,2502,2997,2641,2678,知力修練志向Lv.5,知力上昇率向上Lv.3,魅力上昇Lv.1,2024/12/3,三斎雪華陣,敵単体と敵全体に水属性術攻撃、対象の生命力に応じ威力増、継続ダメージを与え、知力・魅力・術耐性を低下させる。敵か味方が戦闘不能になった時、敵全体の被害を上昇。
7,大内義隆,傾奇者,四象,才腕,文化人,,32425,21121,2484,1441,2258,2868,2858,2516,2850,2638,2692,水属性上昇Lv.5,知力上昇Lv.3,水属性上昇率向上Lv.1,2024/12/3,千歌万来,味方3体の知力・魅力・属性値を上げ、固定ダメージを追加する状態と水属性の槌効果を付与。場の水属性を徐々に上げる。属性付与を打ち消す特定の妖術を一度だけ防ぐ。
6,金森長近,傾奇者,四象,勇将,文化人,,25165,17067,2796,1156,2148,1684,2256,1513,1623,1470,1440,腕力上昇Lv.1,腕力修練志向Lv.1,,2024/12/3,水刃の旋舞,敵単体に近接物理攻撃と水属性術攻撃を行う。場の水属性を徐々に上げる。
7,柳生宗矩,侍,武芸,才腕,文化人,剣豪,30932,21089,3147,1706,2551,2555,2639,2440,2502,2423,2880,腕力上昇率向上Lv.5,腕力修練志向Lv.3,腕力上昇Lv.1,2024/11/1,豪剣一閃,敵単体に近接攻撃と風属性術攻撃を行い、命中力・回避力を大きく低下させる。味方全体に術軽減状態を付与し、物理攻撃のダメージを増加させる。
6,大久保忠世,鍛冶屋,鉄砲鍛冶,才腕,外交官,,27963,16851,2698,1784,1970,1466,2364,1328,1359,1310,1392,腕力上昇Lv.1,腕力修練志向Lv.1,,2024/11/1,闇夜奇襲,敵全体に間接物理攻撃を行い、確率で行動不能にする。
