No,因縁種類,因縁名,因子1,因子2,因子3,発動因子表記,特大,大,中,小,確認状態
22,特化因縁,暗殺術の絆,暗殺術,暗殺術,暗殺術,暗殺術|暗殺術|暗殺術,生命力,,腕力・器用さ・魅力,,ZIP内get_data (1).csvから確認
23,特化因縁,忍術の絆,忍術,忍術,忍術,忍術|忍術|忍術,生命力,,器用さ・知力・四象,,ZIP内get_data (1).csvから確認
24,特化因縁,刀鍛冶の絆,刀鍛冶,刀鍛冶,刀鍛冶,刀鍛冶|刀鍛冶|刀鍛冶,生命力,,腕力・耐久力・魅力,,ZIP内get_data (1).csvから確認
25,特化因縁,鎧鍛冶の絆,鎧鍛冶,鎧鍛冶,鎧鍛冶,鎧鍛冶|鎧鍛冶|鎧鍛冶,生命力,,耐久力・魅力・四象,,ZIP内get_data (1).csvから確認
26,特化因縁,鉄砲鍛冶の絆,鉄砲鍛冶,鉄砲鍛冶,鉄砲鍛冶,鉄砲鍛冶|鉄砲鍛冶|鉄砲鍛冶,生命力,,腕力・耐久力・器用さ,,ZIP内get_data (1).csvから確認
27,特化因縁,医学の絆,医学,医学,医学,医学|医学|医学,生命力,,気合・知力・魅力,,ZIP内get_data (1).csvから確認
28,特化因縁,神通力の絆,神通力,神通力,神通力,神通力|神通力|神通力,生命力,,知力・魅力・四象,,ZIP内get_data (1).csvから確認
29,特化因縁,修験道の絆,修験道,修験道,修験道,修験道|修験道|修験道,生命力,,気合・知力・魅力,,ZIP内get_data (1).csvから確認
30,特化因縁,四象の絆,四象,四象,四象,四象|四象|四象,生命力,,腕力・知力・四象,,ZIP内get_data (1).csvから確認
31,特化因縁,地勢の絆,地勢,地勢,地勢,地勢|地勢|地勢,生命力,,,気合・耐久力・器用さ・知力・魅力・四象,ZIP内get_data (1).csvから確認
32,特化因縁,殺陣の絆,殺陣,殺陣,殺陣,殺陣|殺陣|殺陣,生命力,,腕力・器用さ・知力,,ZIP内get_data (1).csvから確認
33,固有因縁,知将の絆,知将,知将,知将,知将|知将|知将,生命力,知力・四象,,,ZIP内get_data (1).csvから確認
34,固有因縁,忍びの絆,忍び,忍び,忍び,忍び|忍び|忍び,生命力,腕力・器用さ,,,ZIP内get_data (1).csvから確認
35,固有因縁,剣豪の絆,剣豪,剣豪,剣豪,剣豪|剣豪|剣豪,生命力,腕力・器用さ,,,ZIP内get_data (1).csvから確認
36,固有因縁,名臣の絆,名臣,名臣,名臣,名臣|名臣|名臣,生命力,知力・魅力,,,ZIP内get_data (1).csvから確認
37,固有因縁,野心家の絆,野心家,野心家,野心家,野心家|野心家|野心家,生命力,気合・知力,,,ZIP内get_data (1).csvから確認
38,固有因縁,勇将の絆,勇将,勇将,勇将,勇将|勇将|勇将,生命力,腕力・耐久,,,ZIP内get_data (1).csvから確認
39,固有因縁,女傑の絆,女傑,女傑,女傑,女傑|女傑|女傑,生命力,腕力・魅力,,,ZIP内get_data (1).csvから確認
40,固有因縁,内助の功の絆,内助の功,内助の功,内助の功,内助の功|内助の功|内助の功,生命力,知力・魅力,,,ZIP内get_data (1).csvから確認
41,固有因縁,長寿の絆,長寿,長寿,長寿,長寿|長寿|長寿,生命力,気合・耐久,,,ZIP内get_data (1).csvから確認
42,固有因縁,文化人の絆,文化人,文化人,文化人,文化人|文化人|文化人,生命力,器用さ・四象,,,ZIP内get_data (1).csvから確認
43,固有因縁,猛将の絆,猛将,猛将,猛将,猛将|猛将|猛将,生命力,気合・腕力,,,ZIP内get_data (1).csvから確認
44,固有因縁,外交官の絆,外交官,外交官,外交官,外交官|外交官|外交官,生命力,器用さ・魅力,,,ZIP内get_data (1).csvから確認
45,固有因縁,洒落者の絆,洒落者,洒落者,洒落者,洒落者|洒落者|洒落者,生命力,魅力・四象,,,ZIP内get_data (1).csvから確認
46,固有因縁,鬼の絆,鬼,鬼,鬼,鬼|鬼|鬼,生命力,腕力・耐久,,,ZIP内get_data (1).csvから確認
47,固有因縁,神仏の徒の絆,神仏の徒,神仏の徒,神仏の徒,神仏の徒|神仏の徒|神仏の徒,生命力,知力・魅力,,,ZIP内get_data (1).csvから確認
48,固有因縁,世渡り上手の絆,世渡り上手,世渡り上手,世渡り上手,世渡り上手|世渡り上手|世渡り上手,生命力,気合・魅力,,,ZIP内get_data (1).csvから確認
49,固有因縁,飛道具使いの絆,飛道具使い,飛道具使い,飛道具使い,飛道具使い|飛道具使い|飛道具使い,生命力,腕力・器用さ,,,ZIP内get_data (1).csvから確認
50,固有因縁,明敏の絆,明敏,明敏,明敏,明敏|明敏|明敏,生命力,気合・知力,,,ZIP内get_data (1).csvから確認
51,固有因縁,宿将の絆,宿将,宿将,宿将,宿将|宿将|宿将,生命力,腕力・魅力,,,ZIP内get_data (1).csvから確認
52,固有因縁,根性の絆,根性,根性,根性,根性|根性|根性,生命力,耐久・四象,,,ZIP内get_data (1).csvから確認
53,固有因縁,才腕の絆,才腕,才腕,才腕,才腕|才腕|才腕,生命力,器用さ・四象,,,ZIP内get_data (1).csvから確認
54,特殊因縁,もののふ,勇将,猛将,鬼,勇将|猛将|鬼,生命力,腕力,,耐久力・器用さ,ZIP内get_data (1).csvから確認
55,特殊因縁,立役者,知将,外交官,名臣,知将|外交官|名臣,生命力,知力,,魅力・四象,ZIP内get_data (1).csvから確認
56,特殊因縁,謀略家,知将,野心家,世渡り上手,知将|野心家|世渡り上手,生命力,知力,,腕力・四象,ZIP内get_data (1).csvから確認
57,特殊因縁,戦場の華,女傑,猛将,洒落者,女傑|猛将|洒落者,生命力,魅力,,腕力・知力,ZIP内get_data (1).csvから確認
58,特殊因縁,影の者,忍び,内助の功,世渡り上手,忍び|内助の功|世渡り上手,生命力,器用さ,,気合・魅力,ZIP内get_data (1).csvから確認
59,特殊因縁,文明開化,文化人,外交官,洒落者,文化人|外交官|洒落者,生命力,,知力・魅力・四象,,ZIP内get_data (1).csvから確認
60,特殊因縁,豪傑,女傑,剣豪,鬼,女傑|剣豪|鬼,生命力,腕力,,気合・器用さ,ZIP内get_data (1).csvから確認
61,特殊因縁,奇襲,飛道具使い,忍び,剣豪,飛道具使い|忍び|剣豪,生命力,器用さ,,腕力・四象,ZIP内get_data (1).csvから確認
62,特殊因縁,健康第一,長寿,神仏の徒,内助の功,長寿|神仏の徒|内助の功,生命力,,気合・耐久力・知力,,ZIP内get_data (1).csvから確認
63,特殊因縁,籠城名手,名臣,神仏の徒,飛道具使い,名臣|神仏の徒|飛道具使い,生命力,耐久力,,器用さ・知力,ZIP内get_data (1).csvから確認
64,特殊因縁,老練闊達,明敏,野心家,長寿,明敏|野心家|長寿,生命力・気合,,腕力・知力,,ZIP内get_data (1).csvから確認
65,特殊因縁,一気呵成,宿将,鬼,忍び,宿将|鬼|忍び,生命力・腕力,,器用さ・魅力,,ZIP内get_data (1).csvから確認
66,特殊因縁,泰然自若,根性,勇将,長寿,根性|勇将|長寿,生命力・耐久力,,魅力・四象,,ZIP内get_data (1).csvから確認
67,特殊因縁,技巧伝承,才腕,文化人,外交官,才腕|文化人|外交官,生命力・器用さ,,魅力・四象,,ZIP内get_data (1).csvから確認
68,特殊因縁,才気煥発,明敏,野心家,神仏の徒,明敏|野心家|神仏の徒,生命力・知力,,気合・魅力,,ZIP内get_data (1).csvから確認
69,特殊因縁,王佐之才,宿将,名臣,内助の功,宿将|名臣|内助の功,生命力・魅力,,耐久力・四象,,ZIP内get_data (1).csvから確認
70,特殊因縁,流行創出,根性,文化人,洒落者,根性|文化人|洒落者,生命力・四象,,気合・知力,,ZIP内get_data (1).csvから確認
71,特殊因縁,知勇兼備,才腕,勇将,知将,才腕|勇将|知将,生命力,,気合・九光,,ZIP内get_data (1).csvから確認
72,特殊因縁,山紫水明,文化人,仙道,四象,文化人|仙道|四象,生命力,知力・四象,,器用さ,ZIP内get_data (1).csvから確認
73,特殊因縁,硝煙弾雨,飛道具使い,鉄砲鍛冶,神道,飛道具使い|鉄砲鍛冶|神道,生命力,気合・器用さ,,腕力,ZIP内get_data (1).csvから確認
74,特殊因縁,生殺与奪,野心家,医学,暗殺術,野心家|医学|暗殺術,生命力,知力・魅力,,四象,ZIP内get_data (1).csvから確認
75,特殊因縁,勇猛果敢,猛将,武芸,僧兵,猛将|武芸|僧兵,生命力,腕力・器用さ,,耐久力,ZIP内get_data (1).csvから確認
76,特殊因縁,臥薪嘗胆,忍び,鎧鍛冶,修験道,忍び|鎧鍛冶|修験道,生命力,耐久力・四象,,魅力,ZIP内get_data (1).csvから確認
77,特殊因縁,花鳥風月,洒落者,雅楽,地勢,洒落者|雅楽|地勢,生命力,気合・魅力,,四象,ZIP内get_data (1).csvから確認
78,特殊因縁,柔能制剛,知将,軍学,陰陽道,知将|軍学|陰陽道,生命力,器用さ・知力,,耐久力,ZIP内get_data (1).csvから確認
79,特殊因縁,能鷹隠爪,女傑,忍術,密教,女傑|忍術|密教,生命力,耐久力・魅力,,知力,ZIP内get_data (1).csvから確認
80,特殊因縁,天神地祇,世渡り上手,召喚術,神通力,世渡り上手|召喚術|神通力,生命力,魅力・四象,,気合,ZIP内get_data (1).csvから確認
81,特殊因縁,竜飛鳳舞,剣豪,古神道,殺陣,剣豪|古神道|殺陣,生命力,腕力・知力,,器用さ,ZIP内get_data (1).csvから確認
82,特殊因縁,衣鉢相伝,宿将,武士道,仏門,宿将|武士道|仏門,生命力,気合・耐久力,,腕力,ZIP内get_data (1).csvから確認
83,特殊因縁,鎧袖一触,鬼,刀鍛冶,忍法,鬼|刀鍛冶|忍法,生命力,	腕力・四象,,気合,ZIP内get_data (1).csvから確認
84,特殊因縁,意気衝天,気鋭,勇将,女傑,気鋭|勇将|女傑,生命力,気合,器用さ・知力,,ZIP内get_data (1).csvから確認
85,特殊因縁,質実剛健,気鋭,内助の功,外交官,気鋭|内助の功|外交官,生命力,耐久力,魅力・四象,,ZIP内get_data (1).csvから確認
86,特殊因縁,意気軒昂,信義,勇将,宿将,信義|勇将|宿将,生命力,腕力,器用さ・魅力,,ZIP内get_data (1).csvから確認
87,特殊因縁,日進月歩,信義,明敏,飛道具使い,信義|明敏|飛道具使い,生命力,器用さ,腕力・耐久力,,ZIP内get_data (1).csvから確認
88,特殊因縁,雄材大略,博識,名臣,野心家,博識|名臣|野心家,生命力,知力,気合・四象,,ZIP内get_data (1).csvから確認
89,特殊因縁,摂理探究,博識,知将,神仏の徒,博識|知将|神仏の徒,生命力,四象,腕力・知力,,ZIP内get_data (1).csvから確認
90,特殊因縁,巧言令色,多才,長寿,世渡り上手,多才|長寿|世渡り上手,生命力,魅力,気合・耐久力,,ZIP内get_data (1).csvから確認
91,特殊因縁,多芸多才,多才,才腕,洒落者,多才|才腕|洒落者,生命力,,九光,,ZIP内get_data (1).csvから確認
