result_id,eiketsu_position_key,eiketsu_set_key,bond_set_key,eiketsu_ids,bond_ids,bond_count,生命,気合,腕力,耐久力,器用さ,知力,魅力,土属性,水属性,火属性,風属性,登録元,備考
52,89823774|84324240|72522462|75364080|6064875|83805657,6064875|72522462|75364080|83805657|84324240|89823774,70516445|618096012|1913916333|2687121143|3190387884|3291951894|3337786097|4239170409,89823774|84324240|72522462|75364080|6064875|83805657,3337786097|3190387884|3291951894|2687121143|70516445|4239170409|618096012|1913916333,8,11859,2289,140,246,445,756,703,498,519,512,405,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
53,58679116|39942362|6064875|56555361|39434516|3118604,3118604|6064875|39434516|39942362|56555361|58679116,618096012|1858996511|2918637613|3190387884|3337786097|3695590648|3900127887|4065583492,58679116|39942362|6064875|56555361|39434516|3118604,3337786097|4065583492|1858996511|3695590648|618096012|3190387884|2918637613|3900127887,8,10301,1350,66,260,431,674,384,603,721,627,564,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
54,58679116|39942362|6064875|56555361|44187149|3118604,3118604|6064875|39942362|44187149|56555361|58679116,618096012|1858996511|2918637613|3190387884|3337786097|3695590648|3900127887|4065583492,58679116|39942362|6064875|56555361|44187149|3118604,3337786097|4065583492|1858996511|3695590648|618096012|3190387884|2918637613|3900127887,8,9674,1280,74,245,398,639,359,586,635,540,493,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
55,58679116|39942362|6064875|22106646|56763646|3118604,3118604|6064875|22106646|39942362|56763646|58679116,70516445|618096012|1539411415|2918637613|3190387884|3291951894|3337786097|4065583492,58679116|39942362|6064875|22106646|56763646|3118604,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|3190387884|70516445,8,10922,893,138,217,406,669,656,570,635,552,455,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
56,58679116|39942362|6064875|22106646|56763646|62167859,6064875|22106646|39942362|56763646|58679116|62167859,70516445|618096012|1539411415|2918637613|3190387884|3291951894|3337786097|4065583492,58679116|39942362|6064875|22106646|56763646|62167859,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|3190387884|70516445,8,10953,896,146,218,428,645,636,541,596,529,439,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
57,58679116|39942362|6064875|22106646|56763646|20000021,6064875|20000021|22106646|39942362|56763646|58679116,70516445|618096012|1539411415|2918637613|3190387884|3291951894|3337786097|4065583492,58679116|39942362|6064875|22106646|56763646|20000021,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|3190387884|70516445,8,11212,896,144,232,403,616,652,536,598,545,434,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
58,58679116|39942362|6064875|71616907|39434516|3118604,3118604|6064875|39434516|39942362|58679116|71616907,618096012|1858996511|2918637613|3190387884|3291951894|3337786097|3695590648|4065583492,58679116|39942362|6064875|71616907|39434516|3118604,3337786097|4065583492|3291951894|3695590648|618096012|3190387884|2918637613|1858996511,8,10792,1451,119,271,459,684,481,579,706,608,498,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
59,58679116|39942362|6064875|71616907|44187149|3118604,3118604|6064875|39942362|44187149|58679116|71616907,618096012|1858996511|2918637613|3190387884|3291951894|3337786097|3695590648|4065583492,58679116|39942362|6064875|71616907|44187149|3118604,3337786097|4065583492|3291951894|3695590648|618096012|3190387884|2918637613|1858996511,8,10165,1382,132,256,426,649,453,564,629,529,435,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
60,16496464|87334979|97364933|70833849|65288117|35216660,16496464|35216660|65288117|70833849|87334979|97364933,760378724|1636304095|1714897975|1948350679|1952765698|1977159726|2610078354|3244390646,16496464|87334979|97364933|70833849|65288117|35216660,2610078354|1952765698|760378724|3244390646|1714897975|1948350679|1977159726|1636304095,8,11053,2677,654,544,268,0,179,177,181,197,175,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
61,16496464|87334979|97364933|70833849|65288117|18693490,16496464|18693490|65288117|70833849|87334979|97364933,760378724|1636304095|1714897975|1948350679|1952765698|1977159726|2610078354|3244390646,16496464|87334979|97364933|70833849|65288117|18693490,2610078354|1952765698|760378724|3244390646|1714897975|1948350679|1977159726|1636304095,8,10842,2789,655,545,279,0,192,189,197,209,188,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
62,16496464|87334979|97364933|42143972|65288117|48430006,16496464|42143972|48430006|65288117|87334979|97364933,760378724|1636304095|1714897975|1948350679|1952765698|1977159726|2610078354|3244390646,16496464|87334979|97364933|42143972|65288117|48430006,2610078354|1952765698|760378724|3244390646|1714897975|1948350679|1977159726|1636304095,8,10699,2763,654,521,276,0,188,191,201,207,191,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
63,16496464|87334979|97364933|42143972|65288117|29603575,16496464|29603575|42143972|65288117|87334979|97364933,760378724|1636304095|1714897975|1948350679|1952765698|1977159726|2610078354|3244390646,16496464|87334979|97364933|42143972|65288117|29603575,2610078354|1952765698|760378724|3244390646|1714897975|1948350679|1977159726|1636304095,8,10009,2711,600,482,252,0,174,168,171,177,169,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
64,16496464|87334979|97364933|42143972|65288117|35216660,16496464|35216660|42143972|65288117|87334979|97364933,760378724|1636304095|1714897975|1948350679|1952765698|1977159726|2610078354|3244390646,16496464|87334979|97364933|42143972|65288117|35216660,1952765698|760378724|1977159726|2610078354|3244390646|1714897975|1948350679|1636304095,8,10835,2699,660,512,269,0,178,181,190,205,181,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
65,16496464|87334979|97364933|42143972|65288117|27325764,16496464|27325764|42143972|65288117|87334979|97364933,760378724|1636304095|1714897975|1948350679|1952765698|1977159726|2610078354|3244390646,16496464|87334979|97364933|42143972|65288117|27325764,2610078354|1952765698|760378724|3244390646|1714897975|1948350679|1977159726|1636304095,8,10714,2707,659,493,279,0,181,187,185,202,175,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
