番号,九十九の力,生命,気合,腕力,耐久,器用,知力,魅力,土,水,火,風,入手
48,鴻業無双,900,0,0,90,40,0,0,0,0,0,0,天下統一奇譚・賤ヶ岳編：3000PT　銀×4合成
49,聖夜の祝福,900,0,30,30,30,30,30,0,0,0,0,聖誕祭集印帳・巳 （※過去に販売）
50,武技の巧思,900,0,0,0,0,110,0,0,0,0,0,もののふ討伐録：イベント
51,武名の剛力,900,0,100,0,0,0,0,0,0,0,0,もののふ討伐録：イベント
52,武名の忍耐,900,0,0,100,0,0,0,0,0,0,0,もののふ討伐録：イベント
53,武名の俊敏,900,0,0,0,100,0,0,0,0,0,0,もののふ討伐録：イベント
54,武名の英知,900,0,0,0,0,100,0,0,0,0,0,もののふ討伐録：イベント
55,武名の人徳,900,0,0,0,0,0,100,0,0,0,0,もののふ討伐録：イベント
56,二天五輪,900,0,30,30,30,30,30,0,0,0,0,戦国鬼退治：イベント
57,二天四象,900,0,0,0,0,0,0,90,90,90,90,初夏集印帳・巳（※過去に販売）
58,地武の神髄,900,0,0,0,0,0,0,0,0,0,0,天下武技大会：キャンペーン　啓発の槍・地　銀×４合成
59,天武の神髄,900,0,0,0,0,0,0,0,0,0,0,天下武技大会：キャンペーン　啓発の槍・天　銀×４合成
60,童子切の剣光,850,0,0,0,0,105,0,0,0,0,0,信長の野望の日：キャンペーン
61,大典太の剣光,850,0,0,105,0,0,0,0,0,0,0,信長の野望の日：キャンペーン
62,鬼丸の剣光,850,0,0,0,0,0,105,0,0,0,0,信長の野望の日：キャンペーン
63,三日月の剣光,850,0,105,0,0,0,0,0,0,0,0,福袋（※過去に販売）
64,龍争虎闘,850,0,95,0,0,95,0,0,0,0,0,東西合戦：イベント
65,鬼気祓除,850,0,0,75,0,0,25,0,0,0,0,戦国鬼退治：イベント
66,影刃無双,850,0,80,0,20,0,0,0,0,0,0,討取の証：イベント
67,影の舞踏,850,0,0,0,80,0,20,0,0,0,0,討取の証：イベント
68,永劫の旋回,850,0,0,0,20,80,0,0,0,0,0,討取の証：イベント
69,豪雄の征伐,800,0,70,50,0,0,0,0,0,0,0,討取の証：イベント
70,奸雄の討滅,800,0,0,0,0,70,50,0,0,0,0,討取の証：イベント
71,梟雄の求心,800,0,0,0,100,0,20,0,0,0,0,討取の証：イベント
72,爛漫桜飛花,800,0,0,0,0,0,70,40,40,40,40,安土花見祭り：イベント
73,鬼面仏心,800,0,70,0,0,70,20,0,0,0,0,戦国鬼退治：イベント
74,桜吹雪乱舞,800,0,0,0,0,75,0,25,25,25,25,安土花見祭り：イベント
75,如暗得明,800,0,25,25,25,25,25,25,25,25,25,英傑探訪報酬品：12000PT
76,初夏清涼,800,0,0,0,0,90,0,10,10,10,10,初夏集印帳・巳（※過去に販売）
77,百証練磨,800,0,65,0,0,65,15,0,0,0,0,討取の証：イベント
78,英雄の秘奥,800,0,45,45,0,45,45,0,0,0,0,天下分け目の決戦：イベント※銀→金に合成が必要
79,桜花満開,800,0,0,0,0,70,10,0,0,0,0,安土花見祭り：イベント
80,丁年の祝福,800,0,0,20,0,20,80,0,0,0,0,福袋（※過去に販売）
81,勁勇無双,800,0,60,0,40,0,0,0,0,0,0,福袋（※過去に販売）
82,盛夏燦爛,800,0,80,0,0,80,20,0,0,0,0,黄金九十九箱・巳で交換可能
83,修羅慧眼,800,0,60,0,40,0,0,0,0,0,0,修羅魔石：3000PT
84,智略慧眼,800,0,0,0,0,60,40,0,0,0,0,修羅魔石：3000PT
85,無畏慧眼,800,0,0,60,0,0,40,0,0,0,0,修羅魔石：3000PT
86,鬼気五輪,800,0,30,30,30,30,30,0,0,0,0,戦国鬼退治：イベント
87,闇の侵食,800,0,20,20,20,20,20,20,20,20,20,黄金九十九箱・巳で交換可能
88,魔力循環,800,0,30,30,30,30,40,0,0,0,0,黄金九十九箱・牛で交換可能
89,万馬奔騰,800,0,100,0,0,0,0,0,0,0,0,福袋（※過去に販売）
90,確乎不抜,800,0,0,0,0,100,0,0,0,0,0,信長の野望の日：キャンペーン
91,南山不落,800,0,0,100,0,0,0,0,0,0,0,信長の野望の日：キャンペーン
92,不動の威光,800,0,0,80,80,0,20,0,0,0,0,黄金九十九箱・巳で交換可能
93,百証練体,800,0,0,70,0,0,20,0,0,0,0,討取の証：イベント
94,血気方剛,800,0,75,0,0,75,25,0,0,0,0,福袋（※過去に販売）
95,霊峰の堅,800,0,0,100,0,0,10,0,0,0,0,天下統一奇譚・富士編：35000PT
96,霊峰の勇,800,0,100,0,10,0,0,0,0,0,0,天下統一奇譚・富士編：35000PT
97,霊峰の知,800,0,0,0,0,100,0,10,10,10,10,天下統一奇譚・富士編：35000PT
98,百証撃滅,800,0,70,0,0,0,20,0,0,0,0,討取の証：イベント
99,百証練魂,800,0,0,0,0,70,20,0,0,0,0,討取の証：イベント
100,聖夜の加護,800,0,0,0,0,0,50,50,50,50,50,聖誕祭集印帳・巳 （※過去に販売）
101,東西無双,800,0,80,0,0,80,20,0,0,0,0,東西合戦：イベント
102,広闊躍動,800,0,0,0,0,0,100,0,0,0,0,黄金九十九箱・巳で交換可能
103,星霜の谺,750,0,30,30,30,30,30,0,0,0,0,九十九の力成長応援：キャンペーン
104,鍛錬奏功,750,0,35,0,0,0,0,0,0,0,0,黄金九十九箱・巳で交換可能
105,星羅雲布,750,0,9,9,9,9,9,0,0,0,0,黄金九十九箱・巳で交換可能
106,龍威赫々,700,0,35,35,35,35,35,35,35,35,35,初夏集印帳・巳（※過去に販売）
107,折衝の功,700,0,0,0,0,110,0,0,0,0,0,黄金九十九箱・牛で交換可能
108,粉骨砕身,700,0,90,0,30,0,0,0,0,0,0,黄金九十九箱・牛で交換可能
109,鬼の剛力,700,0,70,0,0,0,0,0,0,0,0,戦国鬼退治：イベント
110,鬼神剛体,700,0,0,70,0,0,0,0,0,0,0,戦国鬼退治：イベント
111,邪鬼退散,700,0,0,0,0,70,0,0,0,0,0,戦国鬼退治：イベント
112,英雄の証,700,0,35,35,0,35,35,0,0,0,0,天下分け目の決戦：イベント
113,忠義狂念,700,0,60,0,0,0,50,0,0,0,0,黄金九十九箱・巳で交換可能
114,戦勝の血気,700,0,110,0,0,0,0,0,0,0,0,黄金九十九箱・巳で交換可能
115,三矢の訓,700,0,55,0,0,55,55,0,0,0,0,黄金九十九箱・巳で交換可能
116,昇竜の紫電,700,0,0,0,0,0,70,0,0,0,0,黄金九十九箱・巳で交換可能
117,勇猛な士魂,700,0,70,0,0,0,0,0,0,0,0,黄金九十九箱・巳で交換可能
118,五行活性,700,0,0,0,0,30,30,25,25,25,25,黄金九十九箱・巳で交換可能
119,盛夏無双,700,0,0,70,0,0,0,0,0,0,0,黄金九十九箱・巳で交換可能
120,才智の秘奥,700,0,0,0,0,70,70,0,0,0,0,※2026年3月18日以降入手不可
121,怪力の秘奥,700,0,70,0,0,0,70,0,0,0,0,※2026年3月18日以降入手不可
122,忠勇の秘奥,700,0,0,70,0,0,70,0,0,0,0,※2026年3月18日以降入手不可
123,波濤万里,700,0,50,0,0,50,20,0,0,0,0,黄金九十九箱・巳で交換可能
124,鬼封の力,700,0,60,0,0,60,10,0,0,0,0,黄金九十九箱・巳で交換可能
125,涼風戦陣,700,0,0,0,0,45,25,0,0,0,0,黄金九十九箱・巳で交換可能
126,妖狐明敏,700,0,0,0,0,70,0,0,0,0,0,黄金九十九箱・巳で交換可能
127,氷壁堅固,700,0,0,35,0,0,35,0,0,0,0,黄金九十九箱・巳で交換可能
128,勇猛怒涛,700,0,45,0,25,0,0,0,0,0,0,黄金九十九箱・巳で交換可能
129,魔祭天翔,700,0,22,22,22,22,22,0,0,0,0,黄金九十九箱・巳で交換可能
130,神気繚乱,700,500,0,0,0,0,40,0,0,0,0,黄金九十九箱・巳で交換可能
131,鬼気森然,700,0,0,0,20,0,50,0,0,0,0,黄金九十九箱・巳で交換可能
132,討鬼伝・極,700,500,0,0,0,0,0,0,0,0,0,黄金九十九箱・巳で交換可能
133,石切の一太刀,700,0,18,18,18,18,18,18,18,18,18,黄金九十九箱・巳で交換可能
134,永遠の誓い,650,0,0,20,0,0,55,0,0,0,0,黄金九十九箱・巳で交換可能
135,絢爛闘舞,650,0,0,0,0,30,50,0,0,0,0,黄金九十九箱・巳で交換可能
136,喧嘩無礼,600,0,75,0,0,0,75,0,0,0,0,信長の野望の日：キャンペーン
137,狂喜乱舞,600,0,0,0,0,75,75,0,0,0,0,信長の野望の日：キャンペーン
138,一天地六,600,0,0,75,0,0,75,0,0,0,0,信長の野望の日：キャンペーン
139,奇稲田の加護,600,0,0,0,0,40,40,0,0,0,0,黄金九十九箱・巳で交換可能
140,武芸者の神髄,600,0,50,0,40,0,0,0,0,0,0,天下武技大会・地：【武技の太刀】銅→黄金に合成
141,守護者の神髄,600,0,0,40,0,0,50,0,0,0,0,天下武技大会・地：【武技の槍】銅→黄金に合成
142,智者の神髄,600,0,0,0,0,50,40,0,0,0,0,天下武技大会・地：【武技の錫杖】銅→黄金に合成
143,多才の神髄,600,0,22,22,22,22,22,22,22,22,22,天下武技大会・地：【武技の弓】銅→黄金に合成
144,永劫氷壁,600,0,0,30,0,0,50,0,0,0,0,黄金九十九箱・巳で交換可能
145,為虎添翼,600,0,26,26,26,26,26,0,0,0,0,黄金九十九箱・巳で交換可能
146,黄泉頑強,550,0,0,60,0,0,30,0,0,0,0,黄泉之狭間：救世の宝箱or救世の玉手箱：60
147,黄泉英明,550,0,0,0,0,60,30,0,0,0,0,黄泉之狭間：救世の宝箱or救世の玉手箱：60
148,黄泉豪気,550,0,60,0,30,0,0,0,0,0,0,黄泉之狭間：救世の宝箱or救世の玉手箱：60
149,新・天下布武,550,0,23,23,23,23,23,0,0,0,0,黄金九十九箱・巳で交換可能
150,桜花の証,500,0,0,0,0,35,5,0,0,0,0,安土花見祭り：イベント
151,益荒猛男,500,0,0,35,0,0,35,0,0,0,0,黄金九十九箱・巳で交換可能
152,灼熱の赤備,500,0,35,0,0,0,35,0,0,0,0,黄金九十九箱・巳で交換可能
153,荒神剛力,500,0,70,0,0,0,0,0,0,0,0,上級道場勲札：50000PT
154,荒神忍耐,500,0,0,70,0,0,0,0,0,0,0,上級道場勲札：50000PT
155,荒神俊敏,500,0,0,0,70,0,0,0,0,0,0,上級道場勲札：50000PT
156,荒神英知,500,0,0,0,0,70,0,0,0,0,0,上級道場勲札：50000PT
157,荒神魔性,500,0,0,0,0,0,70,0,0,0,0,上級道場勲札：50000PT
158,荒神雷光,500,0,0,0,0,0,0,70,0,0,0,上級道場勲札：50000PT
159,荒神氷華,500,0,0,0,0,0,0,0,70,0,0,上級道場勲札：50000PT
160,荒神業火,500,0,0,0,0,0,0,0,0,70,0,上級道場勲札：50000PT
161,荒神疾風,500,0,0,0,0,0,0,0,0,0,70,上級道場勲札：50000PT
162,常在戦場,500,0,20,20,20,20,20,20,20,20,20,天下分け目の決戦：イベント
163,桜飛花の証,480,0,0,0,0,0,35,10,10,10,10,安土お花見祭り：イベント
164,桜吹雪の証,480,0,0,0,0,35,0,10,10,10,10,安土お花見祭り：イベント
165,神気の証,480,300,0,0,0,0,25,0,0,0,0,九十九の力；キャンペーン
166,魔女娘の刻印,450,0,17,17,17,17,17,5,5,5,5,黄金九十九箱・巳で交換可能
167,天下泰平,450,150,26,26,26,26,26,0,0,0,0,
168,新春はいから,420,0,18,18,18,18,18,0,0,0,0,黄金九十九箱・巳で交換可能
169,大義貫徹,420,0,18,18,18,18,18,0,0,0,0,黄金九十九箱・巳で交換可能
170,天楼栄華,420,0,15,15,15,15,15,0,0,0,0,九十九の力；キャンペーン
171,霊夜飛翼,420,0,15,15,15,15,15,0,0,0,0,福袋（※過去に販売）
172,新春万福,420,0,15,15,15,15,15,0,0,0,0,福袋（※過去に販売）
173,活力無辺,420,0,0,0,0,0,0,0,0,0,0,
174,新春時尚,420,0,18,18,18,18,18,0,0,0,0,
175,天楼の軍神,420,0,18,18,18,18,18,0,0,0,0,
176,南蛮の軍神,420,0,13,13,13,13,13,0,0,0,0,
177,威風天衝,420,0,18,18,18,18,18,6,6,6,6,
178,涼風一陣,400,0,20,20,20,20,20,0,0,0,0,黄金九十九箱・巳で交換可能
179,厭離穢土,400,0,0,0,0,40,40,0,0,0,0,黄金九十九箱・巳で交換可能
180,剣抜弩張,400,0,40,40,0,0,0,0,0,0,0,黄金九十九箱・巳で交換可能
181,全智大神,400,0,0,10,0,30,20,0,0,0,0,黄金九十九箱・巳で交換可能
182,戦鬼大神,400,0,30,0,10,0,20,0,0,0,0,黄金九十九箱・巳で交換可能
183,守護大神,400,0,0,30,10,0,20,0,0,0,0,黄金九十九箱・巳で交換可能
184,魔空浮遊,400,0,13,13,13,13,13,0,0,0,0,
185,海天蒼波,400,0,0,0,0,0,0,0,0,0,0,
186,聖夜楽宴,400,0,0,0,0,0,0,0,0,0,0,
187,天楼の神算,385,0,0,0,0,23,23,0,0,0,0,
188,天楼の武神,385,0,23,23,0,0,0,0,0,0,0,
189,天楼の神技,385,0,23,0,23,0,0,0,0,0,0,
190,新春招福,350,0,12,12,12,12,12,0,0,0,0,黄金九十九箱・巳で交換可能
191,天長地久,350,0,12,12,12,12,12,0,0,0,0,
192,天下布武,310,110,7,7,7,7,7,7,7,7,7,
193,明鏡の境地,310,0,0,0,0,15,25,0,0,0,0,
194,覇道の境地,310,0,15,0,0,0,25,0,0,0,0,
195,天上天下,310,110,0,0,0,0,25,0,0,0,0,
196,英明軍師,300,0,0,0,0,25,0,0,0,0,0,
197,義侠烈士,300,0,0,0,0,0,25,0,0,0,0,
198,勇猛豪傑,300,0,25,0,0,0,0,0,0,0,0,
199,魔祭霊灯,300,0,13,13,13,13,13,0,0,0,0,
200,真田十勇士,298,0,0,15,0,0,25,0,0,0,0,
201,決戦真田丸,298,0,25,15,0,0,0,0,0,0,0,
202,観音菩薩,298,0,0,0,0,25,15,0,0,0,0,
203,金剛力士,298,0,0,25,0,0,15,0,0,0,0,
204,羅刹天,298,0,15,0,25,0,0,0,0,0,0,
205,真田の軍神,260,0,11,11,11,11,11,0,0,0,0,
206,地武の証,200,0,0,0,0,0,0,0,0,0,0,天下武技大会：キャンペーン　啓発の槍・地
207,天武の証,200,0,0,0,0,0,0,0,0,0,0,天下武技大会：キャンペーン　啓発の槍・天
208,一致団結,200,0,35,0,0,0,0,0,0,0,0,
209,尊尚親愛,200,0,12,12,12,12,12,0,0,0,0,
210,神獣王,200,0,18,18,18,18,18,0,0,0,0,
211,千紅万紫,200,0,18,18,18,18,18,0,0,0,0,
212,英知賢才,200,0,0,0,0,35,0,0,0,0,0,九十九武器箱・五
213,遠聞名士,200,0,0,0,0,0,35,0,0,0,0,九十九武器箱・五
214,剛力無双,200,0,35,0,0,0,0,0,0,0,0,九十九武器箱・五
215,頑健忍耐,200,0,0,35,0,0,0,0,0,0,0,九十九武器箱・五
216,神速俊敏,200,0,0,0,35,0,0,0,0,0,0,九十九武器箱・五
217,気迫天衝,200,220,0,0,0,0,0,0,0,0,0,
218,奔流水禍,200,0,0,0,0,0,0,0,35,0,0,九十九武器箱・五
219,業火炎炎,200,0,0,0,0,0,0,0,0,35,0,九十九武器箱・五
220,紫電光天,200,0,0,0,0,0,0,35,0,0,0,九十九武器箱・五
221,迅疾風来,200,0,0,0,0,0,0,0,0,0,35,九十九武器箱・五
222,新春来鳳,200,0,12,12,12,12,12,0,0,0,0,黄金九十九箱・巳で交換可能
223,星光天煌,200,0,0,0,0,0,35,0,0,0,0,
224,桜花大輪,200,0,13,13,13,13,13,0,0,0,0,
225,秋獲特盛,200,0,12,12,12,12,12,0,0,0,0,
226,純忠一心,200,0,12,12,12,12,12,0,0,0,0,
227,智円行方 ,1100,0,0,0,0,100,20,0,0,0,0,福袋（※過去に販売）
228,速戦即決 ,850,0,0,0,90,0,35,0,0,0,0,討取の証：イベント
229,一撃必殺 ,850,0,90,35,0,0,0,0,0,0,0,討取の証：イベント
230,千戦千勝 ,900,0,50,50,50,50,50,0,0,0,0,東西合戦：イベント
231,雷轟電転,900,0,90,0,0,90,0,40,0,0,0,福袋（※過去に販売）
232,破邪顕正 ,900,0,0,100,0,0,50,0,0,0,0,黄泉の果て：30000PT
233,一往直前 ,900,0,0,0,0,100,50,0,0,0,0,黄泉の果て：30000PT
234,抜山翻海 ,900,0,100,0,0,0,50,0,0,0,0,黄泉の果て：30000PT
235,無畏無双 ,900,0,90,0,0,0,40,0,0,0,0,福袋（※過去に販売）
236,剛毅不屈 ,1000,0,0,100,0,0,40,0,0,0,0,天下統一奇譚・封印編：3000PT　銀×4合成
237,才気煥発 ,1000,0,0,0,0,100,40,0,0,0,0,天下統一奇譚・封印編：3000PT　銀×4合成
238,威風堂々 ,1000,0,100,0,0,0,40,0,0,0,0,天下統一奇譚・封印編：3000PT　銀×4合成
239,黄龍の玉,950,0,0,0,0,75,0,50,50,50,50,黄金九十九箱・牛で交換可能
240,日輪の意志,900,0,0,0,0,80,0,40,40,40,40,福袋（※過去に販売）
241,聖夜の楽曲,900,0,30,30,30,30,30,30,30,30,30,聖夜祭集印帳・巳（※過去に販売）
242,万民一人の願,900,0,0,0,0,70,0,20,20,20,20,黄金九十九箱・牛で交換可能
243,春夜の柔光,900,0,0,0,75,0,45,0,0,0,0,安土夜桜祭り：イベント
244,鬼出電入,900,0,60,0,60,60,0,0,0,0,0,福袋（※過去に販売）
245,湖月の慈愛,900,0,0,0,0,40,80,0,0,0,0,
246,奇想天外,900,0,50,70,0,0,0,0,0,0,0,黄金九十九箱・牛で交換可能
247,武勇の閃撃,900,0,0,0,0,80,40,0,0,0,0,もののふ討伐録：イベント
248,武勇の猛攻,900,0,80,0,40,0,0,0,0,0,0,もののふ討伐録：イベント
249,百鬼往生,900,0,70,0,0,0,50,0,0,0,0,戦国鬼退治：イベント
250,狼歩奇襲,900,0,100,20,0,0,0,0,0,0,0,安土鎮魂祭：イベント
251,豹眼凝視,900,0,100,20,0,0,0,0,0,0,0,安土鎮魂祭：イベント
252,万物創成,900,0,80,0,0,80,30,0,0,0,0,黄金九十九箱・牛で交換可能
253,天下無双,900,0,110,0,0,110,0,0,0,0,0,東西合戦：イベント
254,鬼力無敵,900,0,75,0,45,0,0,0,0,0,0,戦国鬼退治：イベント
255,猛牛爆進,950,0,80,35,0,0,0,0,0,0,0,黄金九十九箱・牛で交換可能
256,鷹視狼歩,950,0,80,0,35,0,0,0,0,0,0,黄金九十九箱・牛で交換可能
257,武技の剛勇,900,0,110,0,0,0,0,0,0,0,0,もののふ討伐録：イベント
258,剛健不落,900,0,0,50,0,0,40,0,0,0,0,黄金九十九箱・牛で交換可能
259,極陰の力,950,0,95,0,50,0,0,0,0,0,0,黄金九十九箱・牛で交換可能
260,至陽の力,950,0,0,0,0,95,50,0,0,0,0,黄金九十九箱・牛で交換可能
261,赤龍の牙,950,0,75,0,0,0,50,0,0,0,0,黄金九十九箱・牛で交換可能
262,青龍の翼,950,0,0,75,0,0,50,0,0,0,0,黄金九十九箱・牛で交換可能
263,緑龍の角,950,0,75,0,50,0,0,0,0,0,0,黄金九十九箱・牛で交換可能
264,黒龍の骨,950,0,0,0,0,75,50,0,0,0,0,黄金九十九箱・牛で交換可能
265,雪月風花,500,0,0,0,0,35,35,0,0,0,0,黄金九十九箱・巳で交換可能
266,新春唐物,500,0,25,25,25,25,25,0,0,0,0,黄金九十九箱・巳で交換可能
267,春爛漫,500,0,13,13,13,13,13,0,0,0,0,黄金九十九箱・寅 で交換可能
268,逢魔全智,500,0,0,15,0,40,30,0,0,0,0,道場褒賞：6000PT
269,逢魔戦鬼,500,0,40,0,15,0,30,0,0,0,0,道場褒賞：6000PT
270,逢魔守護,500,0,0,40,15,0,30,0,0,0,0,道場褒賞：6000PT
271,真夏灼熱 ,850,0,0,0,0,100,0,35,35,35,35,福袋（※過去に販売）
272,千波万嵐 ,1200,0,55,55,0,0,0,0,0,0,0,福袋（※過去に販売）
273,金光の閃撃 ,850,0,50,0,75,0,0,0,0,0,0,安土鎮魂祭：イベント
274,銀輝の閃撃 ,850,0,50,0,75,0,0,0,0,0,0,安土鎮魂祭：イベント
