番号,コスト,名前,育成技能1:(0凸),育成技能2:(0凸),育成技能3:(0凸),生命,気合,腕力,耐久,器用,知力,魅力,土,水,火,風,因子1(特化),因子2(2凸),因子3(LV20),因子4(文曲)
12,7,前田利家(雄材),生命上昇Lv.5,腕力上昇Lv.3,火属性上昇Lv.1,36749,19474,3100,1510,1963,1987,2487,2378,2176,2961,2272,四象,博識,洒落者,世渡り上手
13,7,安国寺恵瓊,耐久上昇Lv.5,耐久上昇率向上Lv.3,魅力上昇Lv.1,35859,22911,1865,2435,1937,2891,3075,2289,2296,2153,2132,密教,名臣,外交官,
14,6,上杉憲政,生命上昇Lv.1,生命上昇率向上Lv.1,,32957,15661,2603,1636,1600,1426,1349,1872,2037,1864,1862,僧兵,野心家,神仏の徒,
15,8,武田晴信,知力上昇率向上Lv.5,土属性上昇Lv.3,知力上昇Lv.1,40234,18242,2346,1983,2026,2918,2106,3003,2957,2820,2812,軍学,神仏の徒,気鋭,野心家
16,7,三条の方,気合上昇Lv.5,生命上昇Lv.3,魅力上昇Lv.1,37441,28385,2073,2116,1638,2844,3087,2291,2476,2282,2384,仏門,女傑,内助の功,ー
17,7,堀秀政,風属性上昇Lv.5,魅力上昇Lv.3,風属性上昇率向上Lv.1,37721,24794,2236,1973,2365,2888,3071,2559,2665,2973,3000,地勢,才腕,外交官,多才
18,7,雫の者,魅力上昇Lv.5,生命上昇Lv.3,水属性上昇Lv.1,38792,20945,1575,2132,1705,2826,3178,2682,2977,2362,2079,医学,女傑,根性,内助の功
19,8,伊達政宗(起源),腕力上昇Lv.5,生命上昇Lv.3,火属性上昇Lv.1,37926,21089,3236,1774,2021,2299,2499,2546,2676,2595,2510,武芸,才腕,野心家,気鋭
20,7,北条氏照(剛柔),知力上昇率向上Lv.5,知力上昇Lv.3,土属性上昇Lv.1,33203,21566,1394,2088,1758,2930,3085,2900,2591,2554,2636,陰陽道,知将,外交官,
21,7,甲斐宗運,耐久上昇Lv.5,耐久上昇率向上Lv.3,魅力上昇率向上Lv.1,37790,20905,2482,2369,1937,2700,2878,2502,2659,2635,2618,密教,宿将,神仏の徒,
22,8,佐竹義重,腕力上昇Lv.5,生命上昇Lv.3,器用上昇率向上Lv.1,36581,19527,2968,1897,2327,2811,2919,2408,2502,2821,2616,武芸,才腕,勇将,
23,7,片倉景綱,気合上昇率向上Lv.5,魅力修練上昇Lv.3,知力修練上昇Lv.1,30828,23432,1621,1305,1308,1906,2205,1467,1320,1250,1515,古神道,名臣,,
24,8,今川義元,知力上昇Lv.5,知力修練上昇Lv.3,,27891,18115,1189,1653,1343,2040,2865,1544,2842,1483,1530,陰陽道,文化人,多才,
25,6,平手政秀,魅力上昇率向上Lv.3,知力修練上昇Lv.1,,19872,19075,662,1159,907,2243,1701,1436,790,750,1332,仙道,名臣,信義,
26,7,島津家久,耐久上昇率向上Lv.5,耐久上昇Lv.3,,27885,13915,2095,1797,1545,956,1886,917,946,1118,1196,鉄砲鍛冶,勇将,,
27,8,上杉謙信,生命上昇Lv.3,,,26936,15587,1759,1699,1215,2222,2058,1169,1471,1119,1430,仏門,勇将,信義,
28,8,F,水属性上昇率向上Lv.5,水属性上昇Lv.3,,37047,13937,2076,2183,1424,1144,2258,1018,1561,999,968,刀鍛冶,鬼,,勇将
29,8,本願寺顕如,気合上昇Lv.3,,,31515,19361,2167,1761,1193,2098,1980,1169,1716,1119,1192,仏門,神仏の徒,博識,
30,7,吉川元春,腕力上昇率向上Lv.5,魅力上昇率向上Lv.3,魅力上昇Lv.1,35606,16698,2871,2054,2124,2524,2827,1265,1636,1177,1312,僧兵,猛将,,気鋭
31,7,黒百合(納涼),水属性上昇Lv.5,生命修練上昇Lv.3,水属性上昇率向上Lv.1,34827,20972,2463,1383,1918,2390,2317,2629,3046,2584,2612,四象,才腕,女傑,博識
32,6,黒百合,風属性上昇Lv.1,,,20971,11935,1598,876,1012,1094,1426,798,717,876,747,四象,女傑,,
33,7,丹羽長秀(風雲),知力上昇Lv.5,火属性上昇率向上Lv.3,水属性上昇率向上Lv.1,33239,21459,1148,2143,1939,2829,2946,2018,2810,2827,2004,修験道,名臣,知将,
34,7,直江兼続(王佐),知力上昇Lv.5,知力上昇率向上Lv.3,知力修練志向Lv.1,35063,23809,1816,2157,1929,2912,3041,2882,2742,2702,2789,陰陽道,名臣,文化人,信義
35,6,安宅冬康,耐久修練志向Lv.1,魅力修練上昇Lv.1,,31889,12216,1231,2000,1163,879,1900,767,777,870,758,鎧鍛冶,知将,多才,
36,6,稲葉一鉄,魅力修練上昇Lv.1,,,22887,12046,1607,1192,1053,1178,1214,860,760,700,703,僧兵,猛将,博識,
37,6,斎藤朝信,魅力修練志向Lv.5,,,23409,12142,1921,1092,1264,828,1408,688,697,825,682,武芸,名臣,信義,
38,6,支倉常長,腕力上昇率向上Lv.1,,,18183,14671,2607,1224,1210,1378,1268,768,899,707,732,武士道,外交官,博識,
39,6,十河一存,腕力修練上昇Lv.1,,,23409,12142,2189,982,1218,921,1408,688,697,825,682,武芸,鬼,気鋭,
40,6,北条氏邦,器用上昇率向上Lv.1,,,23409,12142,2246,982,1150,921,1408,688,844,682,682,武芸,世渡り上手,多才,根性
41,6,井伊直政,腕力修練上昇Lv.1,,,23409,12142,2113,1092,1035,921,1408,688,697,825,682,武芸,猛将,気鋭,
42,6,谷忠澄,知力修練上昇Lv.1,腕力上昇Lv.1,,27259,12232,2229,1053,1053,1528,1769,796,743,752,780,殺陣,多才,外交官,
43,6,伊奈忠次,知力上昇Lv.1,魅力上昇Lv.1,,22186,13965,705,1168,758,1737,1482,1630,1339,1655,1199,召喚術,博識,文化人,
44,6,唐沢玄蕃,器用上昇Lv.1,腕力修練上昇Lv.1,,25038,11522,2392,985,1764,819,1585,750,863,769,782,暗殺術,気鋭,忍び,
45,6,御子神典膳,腕力上昇Lv.1,腕力修練志向Lv.1,,30899,15907,2420,1146,1897,1300,2451,1529,1580,1514,1509,武芸,信義,剣豪,
46,5,大熊朝秀,,,,25391,11732,602,1048,873,1701,1748,805,786,808,1319,修験,多才,,
47,5,関口氏広,,,,22142,11714,559,949,744,1593,1241,914,794,816,904,仙道,多才,,
48,5,岡国高,,,,28206,10922,830,1712,1058,778,1631,658,659,706,719,鎧鍛冶,博識,,
49,5,鈴木元信,,,,24451,12486,578,978,793,1324,1346,818,649,705,624,医術,博識,,
50,5,渡辺了,,,,23877,11774,1005,1259,1109,1269,1492,899,714,721,719,軍学,気鋭,,
51,5,安藤良整,,,,17164,7722,493,1776,535,1007,959,608,511,478,483,仏門,気鋭,,
52,5,大沢正秀,,,,28717,10676,1150,1334,1048,693,1395,694,699,426,544,刀鍛冶,信義,,
53,5,下間頼竜,,,,21335,10934,1645,987,915,877,1162,570,738,554,692,僧兵,信義,,
54,7,斎藤利三(神祇),知力上昇率向上Lv.5,水属性上昇Lv.3,火属性上昇Lv.1,34843,22477,1537,2020,1563,2854,2759,2340,2977,2869,2417,召喚術,世渡り上手,知将,才腕
55,5,斎藤利三,,,,21153,15752,657,940,848,1590,1466,903,967,773,950,古神道,名臣,,
56,7,織田信忠,生命上昇Lv.5,生命修練志向Lv.3,生命上昇率向上Lv.1,38950,21254,1481,2032,2026,2802,2928,2249,2220,2148,2159,神通力,明敏,名臣,
57,6,大野治長,魅力上昇Lv.1,魅力修練志向Lv.1,,27681,17891,1480,1822,2047,1825,2456,1829,1603,1603,1553,神通力,世渡り上手,文化人,
58,6,早川殿,生命上昇Lv.3,魅力上昇率向上Lv.1,,33074,20655,735,1659,1858,2435,2714,2207,2121,1927,2215,召喚術,外交官,内助の功,
59,6,武田信繁,土属性上昇率向上Lv.1,,,25622,13350,771,1412,940,2022,2563,1409,1112,1093,941,神通力,名臣,,
60,6,庵原将監,知力修練上昇Lv.1,,,20338,11736,608,891,648,1503,1329,1036,853,718,824,召喚術,名臣,,
61,7,林崎甚助,腕力上昇率向上Lv.5,腕力上昇Lv.3,生命上昇Lv.1,34967,19839,3258,1788,2146,2219,2534,2387,2339,2164,2510,武芸,剣豪,明敏,長寿
62,7,直江景綱,気合上昇Lv.5,気合修練志向Lv.3,気合上昇率向上Lv.1,37304,30158,1964,1761,1883,2629,2728,2587,2376,2262,2756,古神道,外交官,名臣,
63,6,山上道及,腕力上昇Lv.1,腕力修練志向Lv.1,,32711,15744,3014,1574,2128,1569,1372,1952,1920,1884,1920,殺陣,猛将,世渡り上手,
64,8,雑賀孫市(道化),耐久上昇Lv.5,腕力上昇Lv.3,耐久上昇率向上Lv.1,36406,20162,2921,2300,2035,1756,2675,2048,2125,2644,2219,鉄砲鍛冶,飛道具使い,才腕,洒落者
65,7,望月千代女(道化),魅力上昇Lv.5,気合上昇率向上Lv.3,気合修練志向Lv.1,36009,28640,1964,1970,1975,2824,3076,2614,2424,2319,2756,古神道,世渡り上手,女傑,
66,7,鍋島直茂(乱雲),知力上昇率向上Lv.5,知力上昇Lv.3,生命上昇Lv.1,38827,21083,2681,2097,2157,2918,3094,2321,2425,2274,2482,軍学,名臣,知将,
67,7,鍋島直茂,耐久修練志向Lv.2,,,29542,15700,1764,1639,1428,2215,1938,1155,1183,1115,1223,軍楽,知将,,
68,8,島津義久,知力上昇Lv.5,風属性上昇率向上Lv.5,気合上昇率向上Lv.1,35328,27777,2010,2175,2014,2893,2909,2608,2742,2636,3027,陰陽道,明敏,世渡り上手,知将
69,7,蜂須賀正勝,腕力上昇Lv.5,腕力上昇率向上Lv.3,土属性上昇Lv.1,38280,24794,2934,2005,2056,2594,2506,2996,2619,2535,2894,地勢,名臣,才腕,世渡り上手
70,7,前田利家(兎忍),生命上昇Lv.5,生命修練志向Lv.3,生命上昇率向上Lv.1,39002,17652,2834,1542,2091,2044,1852,1220,1305,1184,1118,武芸,猛将,,洒落者
71,7,納涼忍お綾,知力上昇Lv.5,器用上昇Lv.3,魅力上昇率向上Lv.1,31789,20182,3146,1590,2649,2414,2311,2176,2072,2269,2363,忍術,才腕,女傑,洒落者
72,8,九鬼嘉隆,生命上昇Lv.5,耐久上昇Lv.3,水属性上昇率向上Lv.1,40415,20162,2447,2428,2093,2890,2991,1909,2442,2290,2128,刀鍛冶,鬼,勇将,
73,7,大谷吉継(西軍),生命上昇Lv.5,風属性上昇Lv.3,知力上昇Lv.1,39211,21777,1782,2133,1866,2912,2486,2659,2638,2578,3022,神通力,名臣,根性,
74,7,大谷吉継,風属性上昇率向上Lv.1,,,31078,16907,983,1774,1050,2522,2402,1389,1337,1351,2874,陰陽道,名臣,,
75,7,島津豊久,耐久上昇率向上Lv.5,生命上昇Lv.3,耐久上昇Lv.1,38919,18506,2588,2586,2089,2047,2465,1752,1650,1509,1629,鎧鍛冶,勇将,根性,
76,6,伊賀崎道順,知力上昇Lv.1,知力修練志向Lv.1,,26033,13061,1690,1022,1712,2615,2101,1720,1690,2047,1865,忍術,忍び,飛道具使い,
77,7,石川数正(臥薪),知力上昇Lv.5,知力修練志向Lv.3,生命上昇率向上Lv.1,35987,21118,1753,2160,1953,2926,2928,2834,2488,2504,2480,修験道,外交官,野心家,才腕
78,6,石川数正,魅力修練志向Lv.1,知力上昇率向上Lv.1,,21161,13728,1003,1002,822,1871,2629,748,669,643,1127,雅楽,外交官,,
79,6,赤尾清綱,生命修練上昇Lv.1,,,26415,14368,800,1339,1096,1843,1638,891,873,889,1470,修験道,名臣,,
80,6,望月吉棟,器用上昇率向上Lv.1,腕力上昇率向上Lv.1,,24591,11521,2392,985,1763,818,1454,750,764,768,782,暗殺術,忍び,,
81,7,陶晴賢,知力上昇Lv.5,水属性上昇Lv.3,知力修練志向Lv.1,35860,26742,1621,2209,1953,2968,3129,2728,3093,2801,2891,陰陽道,才腕,野心家,
82,7,山中鹿之介,腕力上昇Lv.5,腕力上昇率向上Lv.3,生命修練上昇Lv.1,36581,21402,3124,1897,2411,2219,2919,2132,2197,2800,2152,武芸,勇将,根性,猛将
83,8,豊臣秀吉,知力上昇率向上Lv.5,生命上昇Lv.3,知力上昇Lv.1,38264,20336,2399,2229,1982,3006,2665,2598,2661,2843,2751,軍学,世渡り上手,野心家,才腕
84,7,高台院,知力上昇Lv.5,魅力上昇率向上Lv.3,魅力上昇Lv.1,32208,25095,2018,1575,1396,2677,3094,2323,2123,2019,2168,雅楽,内助の功,長寿,明敏
85,7,愛姫(起源),知力上昇Lv.5,水属性上昇Lv.3,知力上昇率向上Lv.1,32130,25626,3147,1701,2117,2443,3085,2399,2353,2377,2462,神道,明敏,内助の功,
86,7,毛利勝永,生命上昇Lv.5,生命修練志向Lv.3,生命上昇率向上Lv.1,40234,18541,2734,2245,1676,2109,2870,1674,1715,1616,1773,軍学,勇将,根性,
87,6,香宗我部親泰,知力上昇Lv.1,知力修練志向Lv.1,,30103,13989,1544,1566,1300,1846,1987,1540,1800,1448,1550,軍学,知将,才腕,
88,7,井伊直政(勇猛),腕力上昇Lv.5,火属性上昇率向上Lv.3,火属性上昇Lv.1,32277,21870,3124,1774,2439,2703,2919,2334,2524,2832,2331,武芸,猛将,鬼,
89,7,村上義清,腕力上昇Lv.5,腕力修練志向Lv.3,魅力上昇率向上Lv.1,32487,20123,3293,1602,2231,2461,2861,2102,2477,2334,2188,僧兵,猛将,根性,
90,6,渡辺守綱,腕力上昇Lv.1,腕力修練志向Lv.1,,31133,16393,2401,1146,1897,1290,2451,1522,1580,1514,1509,武芸,猛将,長寿,
91,6,豊臣秀次,知力上昇Lv.1,知力修練志向Lv.1,,29346,16900,1052,1474,1774,2515,2608,1701,1775,1696,1694,医学,知将,文化人,
92,7,細川忠興(山紫),知力修練志向Lv.5,知力上昇率向上Lv.3,魅力上昇Lv.1,31107,22707,2092,1773,2163,2950,2853,2502,2997,2641,2678,仙道,鬼,文化人,
93,7,大内義隆,水属性上昇Lv.5,知力上昇Lv.3,水属性上昇率向上Lv.1,32425,21121,2484,1441,2258,2868,2858,2516,2850,2638,2692,四象,才腕,文化人,
94,6,金森長近,腕力上昇Lv.1,腕力修練志向Lv.1,,25165,17067,2796,1156,2148,1684,2256,1513,1623,1470,1440,四象,勇将,文化人,
95,7,柳生宗矩,腕力上昇率向上Lv.5,腕力修練志向Lv.3,腕力上昇Lv.1,30932,21089,3147,1706,2551,2555,2639,2440,2502,2423,2880,武芸,才腕,文化人,剣豪
96,6,大久保忠世,腕力上昇Lv.1,腕力修練志向Lv.1,,27963,16851,2698,1784,1970,1466,2364,1328,1359,1310,1392,鉄砲鍛冶,才腕,外交官,
97,6,妙玖,知力上昇Lv.1,気合修練志向Lv.1,,29283,15561,1205,1604,1132,2409,2118,2024,2058,1954,2068,仏門,内助の功,,
98,7,義姫,魅力上昇Lv.5,知力上昇Lv.3,魅力上昇率向上Lv.1,32965,21799,1275,2177,1939,2887,3037,2545,2748,2356,2419,修験道,明敏,野心家,鬼
99,7,明石全登,生命上昇率向上Lv.5,魅力上昇Lv.3,生命上昇Lv.1,37637,21747,2295,2232,2046,2229,3046,2462,2396,2294,2389,武士道,明敏,神仏の徒,博識
100,6,竹中重門,知力上昇Lv.1,生命上昇Lv.1,,27452,16515,1002,1448,1488,2474,2594,1506,1414,1423,1389,神通力,明敏,野心家,
101,7,山県昌景(泰然),腕力上昇率向上Lv.5,生命上昇Lv.3,腕力上昇Lv.1,35774,18746,3057,1883,2244,2178,2552,2344,2404,2692,2331,武芸,根性,勇将,
102,7,真田信幸(泰然),魅力上昇Lv.5,生命上昇Lv.3,魅力上昇率向上Lv.1,34520,24490,2987,1633,2170,2662,3027,2280,2330,2342,2414,神通,根性,長寿,
103,6,長野業正,耐久上昇Lv.1,生命上昇Lv.1,,31943,17607,1686,1537,2070,2156,2555,2041,2056,2073,1976,武士道,根性,長寿,猛将
104,7,霧隠才蔵,器用上昇率向上Lv.5,腕力上昇Lv.3,器用修練志向Lv.1,33311,19775,2909,1515,2528,2061,2711,2187,2292,2304,2322,忍法,宿将,忍び,
105,7,尼子経久,知力上昇率向上Lv.5,生命上昇Lv.3,魅力上昇Lv.1,36084,21031,1592,1944,2103,2887,2932,2571,2751,2755,2773,仙道,才腕,知将,
106,6,木下秀長,知力上昇Lv.1,腕力上昇Lv.1,,28865,17893,2441,1030,2103,2587,2617,2139,2061,2179,2041,神通,才腕,知将,
107,7,井伊直虎,魅力上昇率向上Lv.5,知力上昇Lv.3,魅力上昇Lv1,36576,20635,2857,2147,1676,2830,3075,1131,2070,2731,1149,軍学,女傑,猛将,
108,7,名古屋山三郎,魅力上昇率向上Lv.5,腕力上昇率向上Lv.3,魅力修練志向Lv1,34058,22428,3037,2050,2000,2796,2948,2513,2507,2506,2513,殺陣,文化人,洒落者,
109,6,大祝鶴,腕力上昇Lv.1,魅力上昇Lv.1,,27502,18022,2519,950,1840,2006,2648,1501,1498,1481,1516,神道,女傑,洒落者,
110,7,下間頼廉(籠城),腕力上昇率向上Lv.5,器用上昇率向上Lv.3,腕力上昇Lv.1,32275,15334,3042,2174,2377,2488,1925,1049,1157,1088,1088,鉄砲鍛冶,神仏の徒,飛道具使い,
111,7,北条綱成(籠城),耐久上昇率向上Lv.5,生命上昇Lv.3,耐久上昇Lv1,36940,20282,1945,2303,2234,2722,2326,2022,1309,1256,1187,鎧鍛冶,名臣,勇将,
112,6,甲斐姫,生命上昇Lv.1,生命修練志向Lv.1,,33172,15339,1086,2000,2155,2445,2602,907,844,738,856,武士道,名臣,女傑,
113,7,宇喜多直家,知力上昇率向上Lv.5,知力上昇Lv.3,知力修練上昇Lv1,35859,20905,1578,2104,1560,2891,2825,2315,2309,2305,2306,密教,知将,野心家,
114,7,細川藤孝(立役),魅力上昇率向上Lv.5,知力上昇率向上Lv.3,土属性上昇Lv1,35586,20726,1332,2000,1642,2823,2952,2724,2687,2629,2611,仙道,外交官,文化人,長寿
115,7,羽柴秀吉,知力上昇Lv.2,魅力上昇Lv.1,,30323,17422,1114,1680,1458,1832,2652,1323,1306,1264,1270,神通力,知将,,
116,7,小早川隆景,知力上昇率向上Lv.5,知力上昇Lv.2,,32323,18048,1492,1622,976,2915,2874,1169,1250,1141,1192,仏門,名臣,外交官,
117,7,藤堂高虎(名臣),魅力上昇率向上Lv.5,魅力上昇Lv.2,,30846,18293,946,1680,1458,2546,3020,1323,1306,1264,1270,神通力,世渡り上手,,
118,7,宝蔵院胤栄,腕力修練志向Lv.5,腕力上昇Lv.2,,30148,15984,3172,1864,2111,2096,2137,1757,1748,1760,1708,僧兵,剣豪,,
119,7,上泉信綱,腕力上昇Lv.5,知力上昇Lv.2,,32008,16246,2856,1542,2174,2017,1817,1198,1349,1173,2658,武芸,剣豪,才腕,
120,7,朝倉宗滴,耐久上昇Lv.2,生命上昇Lv.1,,33986,17839,2295,2078,1667,1886,2217,1167,1237,1067,1101,武士道,剣豪,,
121,7,加藤段蔵,生命上昇率向上Lv.5,器用上昇Lv.2,,32254,15080,2868,1598,2411,1622,1838,970,1021,998,1217,忍法,忍び,,
122,7,藤林正保,器用上昇Lv.2,気合上昇率向上Lv.1,,29346,14227,2766,1102,2139,1364,1820,903,907,912,1186,忍法,忍び,,
123,7,望月千代女,魅力修練志向Lv.5,知力修練上昇Lv.2,,30212,16594,1722,1264,2028,2488,2870,2005,2027,1415,1445,忍術,女傑,,
124,7,黒田官兵衛,知力上昇率向上Lv.5,知力修練志向Lv.3,知力上昇Lv.1,30271,18489,1864,1469,1805,2813,2031,1265,2796,1171,1207,神道,知将,才腕,多才
125,7,竹中半兵衛,知力上昇Lv.5,気合上昇率上昇Lv.2,,27094,18288,951,1757,1330,2745,2424,1921,1822,1829,2891,陰陽道,知将,才椀,明敏
126,5,竹中半兵衛,,,,20274,12455,564,688,588,1591,1670,1208,945,1137,1035,陰陽道,名臣,,
127,7,本多正信,知力修練上昇Lv.2,知力修練志向Lv.1,,24886,15240,2082,1277,1063,2759,1771,1598,1227,1195,1285,仙道,知将,,
128,8,浅井長政,耐久上昇率向上Lv.3,,,30125,17184,2656,1405,1589,1466,2097,1167,1142,1130,1318,武芸,知将,,
129,8,朝倉義景,土属性上昇Lv.3,,,31605,15240,1041,1702,1182,2547,2361,2363,1162,1132,1217,仙道,文化人,,
130,7,石田三成,知力上昇Lv.2,,,31445,15553,1248,1474,1250,2527,2270,1410,1329,1305,2020,密教,名臣,明敏,
131,6,蒲生氏郷,生命上昇率向上Lv.1,魅力上昇Lv.1,,33139,19892,2537,1898,1928,2411,2634,2201,2177,2070,2216,軍学,名臣,,
132,6,真柄直隆,腕力上昇率向上Lv.1,腕力上昇Lv.1,,28324,11900,2689,1015,1437,728,1578,645,668,667,654,武芸,剣豪,,洒落者
133,8,伊達政宗,腕力修練志向Lv.5,器用上昇率向上Lv.3,,32008,16871,2499,1501,1561,1506,1852,1167,1196,1184,1160,武芸,野心家,,
134,8,雑賀孫市,腕力上昇率向上Lv.3,,,32016,14199,2619,1868,1545,1073,2233,1019,1052,1423,1088,鉄砲鍛冶,飛道具使い,,
135,7,愛姫,器用修練上昇Lv.2,,,29484,18115,1059,1722,1184,2281,2402,1510,1521,1466,1581,陰陽道,内助の功,,
136,7,鈴木重意,器用修練志向Lv.2,,,29773,20218,2276,1908,2092,1817,2718,1155,1226,1216,1045,武士道,勇将,,飛道具使い
137,6,岡吉正,腕力修練志向Lv.1,,,23303,11312,2540,1527,1515,709,1800,730,788,856,844,鉄砲鍛冶,神仏の徒,,
138,6,原田宗時,知力上昇率向上Lv.1,,,28148,12926,1235,1220,1139,1512,1401,854,812,786,827,地勢,洒落者,,
139,8,足利義輝,魅力修練上昇Lv.3,,,30394,17340,2633,1365,1672,1479,2080,1167,1088,1077,1477,武芸,剣豪,,
140,7,朝比奈泰朝,火属性上昇Lv.2,,,25879,20035,1114,1680,1458,2546,1842,1653,1266,2591,1257,神通力,勇将,,
141,7,和田惟政,土属性上昇率向上Lv.2,,,27060,14950,1758,1189,2119,2451,1864,2458,1232,1268,1362,忍術,忍び,,
142,6,三淵晴員,風属性上昇率向上Lv.1,,,34150,12834,1197,1524,1141,1526,2424,996,985,937,1003,軍学,神仏の徒,,
143,6,瀬名氏俊,知力修練志向Lv.1,,,22056,12889,720,1085,881,2243,1606,1093,1679,900,1004,仙道,世渡り上手,,
144,7,猿飛佐助,火属性上昇率向上Lv.2,,,26272,14202,1722,1151,1816,2024,1938,807,2520,2536,806,忍術,忍び,,
145,7,杉谷善住坊,腕力上昇率向上Lv.2,,,26336,15050,2700,2084,1396,897,1751,1059,1136,1078,1109,鉄砲鍛冶,飛道具使い,,
146,6,室賀正武,知力修練志向Lv.1,,,30814,20068,504,981,619,1805,1315,1009,1015,1013,1016,召喚術,野心家,,
147,6,植田光次,風属性上昇Lv.1,,,27284,18798,943,1040,1021,2110,1589,906,980,958,2353,古神道,忍び,,
148,8,斎藤道三,気合上昇率向上Lv.3,,,31707,15699,2851,1748,1328,1905,1896,1307,1177,1094,1094,僧兵,野心家,才腕,
149,7,武田勝頼,耐久上昇Lv.5,火属性上昇Lv.3,,30386,13756,1728,1966,1443,2039,2684,1513,1336,2230,1149,軍学,勇将,,
150,7,直江兼続,気合上昇率向上Lv.2,,,29219,20013,1740,1757,1172,1966,2446,1767,1722,1697,1752,陰陽道,知将,,
151,7,本願寺証如,風属性上昇Lv.5,気合上昇率向上Lv.2,,27859,18229,1521,1690,1062,2144,2699,1410,2430,1317,2419,密教,神仏の徒,,
152,6,七里頼周,器用修練上昇Lv.1,,,24832,15024,901,1209,797,1799,2456,1091,834,771,799,仏門,神仏の徒,才腕,
153,6,本庄繁長,生命修練上昇Lv.1,,,21302,17971,1767,1201,1173,1235,1521,942,588,574,934,武芸,鬼,,
154,7,ねね(納涼),気合修練上昇Lv.2,知力上昇Lv.1,,29016,18293,1114,1696,1458,2509,1842,1323,1306,1264,1270,神通力,内助の功,世渡り上手,
155,7,羽柴秀吉(納涼),生命上昇率向上Lv.5,魅力上昇Lv.3,耐久上昇Lv.1,33763,15700,1852,1639,1458,1758,2740,1155,1183,1115,1223,軍学,野心家,,外交官
156,7,前田慶次,腕力修練志向Lv.2,,,30736,17864,2553,1594,1484,1950,1842,1249,1173,1155,1207,地勢,洒落者,,
157,7,筒井順慶,水属性上昇率向上Lv.2,,,26249,15556,2128,1486,1274,1778,2603,1108,2029,1083,2021,僧兵,神仏の徒,文化人,
158,6,小西行長,知力修練志向Lv.1,,,26168,16092,736,1312,1019,1978,2620,1302,946,963,932,修験道,神仏の徒,,外交官
159,8,北条氏康,腕力上昇Lv.3,,,29049,17027,2544,1474,1547,1452,1957,1485,1088,1077,1055,武芸,野心家,,
160,7,風魔小太郎,風属性上昇率向上Lv.2,,,29424,15398,1758,1126,1362,2506,1882,1100,1008,1201,2349,忍術,忍び,飛道具使い,宿将
161,7,服部半蔵,腕力上昇Lv.2,腕力修練志向Lv.1,,29258,15388,2808,1194,1650,1191,1812,1032,1059,1098,1339,暗殺術,忍び,,
162,6,板部岡江雪斎,魅力修練上昇Lv.1,知力上昇率向上Lv.1,,25056,14017,960,1356,842,2001,2515,912,1135,1058,870,密教,外交官,,長寿
163,7,雑賀孫六,腕力上昇Lv.5,腕力修練志向Lv.2,,28402,14908,2418,1886,1634,1073,2117,1019,1052,1403,1088,鉄砲鍛冶,飛道具使い,,
164,7,本願寺教如,水属性上昇Lv.2,,,30342,18396,1865,1988,1162,2106,1788,1331,1853,1267,1247,密教,神仏の徒,,
165,8,三好長慶,魅力上昇率向上Lv.3,,,31088,24300,1607,1461,1438,1976,2089,1200,1080,1023,2342,古神道,野心家,,
