番号,鬼神の力,入手,生命,気合,腕力,耐久,器用,知力,魅力,土,水,火,風
62,祝神の加護,福袋（※過去に販売）,1700,0,20,20,20,20,180,0,0,0,0
63,天下の猛将,黄金鬼神箱で交換可能,1700,0,200,0,0,0,50,0,0,0,0
64,海神の加護,黄金鬼神箱で交換可能,1700,0,200,0,0,200,50,0,0,0,0
65,偉勲大功の証,討取の証：イベント,1700,0,0,200,0,0,50,0,0,0,0
66,神将の威光,黄金鬼神箱で交換可能,1700,0,200,0,50,0,0,0,0,0,0
67,天地神明の愛,黄金鬼神箱で交換可能,1700,0,0,0,0,0,200,0,0,0,0
68,視死如帰,黄泉の果て：45000PT,1600,0,0,0,0,250,0,100,100,100,100
69,盛者必衰,招福の小槌：イベント,1600,0,0,0,0,100,0,0,600,0,0
70,桜飛花の力,安土花見祭り：イベント,1600,0,0,0,0,0,150,150,150,150,150
71,影迹無端,福袋（※過去に販売）,1500,0,0,0,330,0,0,0,0,0,0
72,御所の妖異,二条城編の証or御所の荒石or雫：60000PT,1500,0,0,0,0,280,0,80,80,80,80
73,貪狼の輝光,星海の荒石,1500,0,125,125,125,125,125,0,0,0,0
74,破軍の輝光,星海の荒石,1500,0,0,0,250,0,0,0,0,0,0
75,武曲の輝光,星海の荒石,1500,0,250,0,0,0,0,0,0,0,0
76,文曲の輝光,星海の荒石,1500,0,0,0,0,250,0,0,0,0,0
77,巨門の輝光,星海の荒石,1500,0,0,0,0,0,125,125,125,125,125
78,廉貞の輝光,星海の荒石,1500,0,0,0,0,0,250,0,0,0,0
79,変幻自在,福袋（※過去に販売）,1500,0,150,0,150,0,0,0,0,0,0
80,烽火連天,討取の証：イベント,1500,0,100,210,0,0,0,0,0,0,0
81,死生有命,黄泉の果て：  7500PT,1500,0,150,0,0,150,50,0,0,0,0
82,歴戦不敗,もののふ討伐録：イベント,1500,0,0,0,0,0,0,400,400,400,400
83,風起雲湧,福袋（※過去に販売）,1500,0,0,0,0,140,0,0,0,0,500
84,光焔万丈,福袋（※過去に販売）,1500,0,0,0,0,140,0,0,0,500,0
85,雲水飛動,福袋（※過去に販売）,1500,0,0,0,0,140,0,0,500,0,0
86,石破天驚,福袋（※過去に販売）,1500,0,0,0,0,140,0,500,0,0,0
87,魔京の鬼魅,京都編の証or古都の荒石or雫：60000PT,1500,0,300,0,0,300,50,0,0,0,0
88,龍威虎勇,東西合戦：イベント,1500,0,120,0,0,0,180,0,0,0,0
89,桜吹雪の力,安土花見祭り：イベント,1500,0,0,0,0,160,0,140,140,140,140
90,般若の見識,黄金鬼神箱で交換可能,1500,0,0,0,0,180,0,100,100,100,100
91,如法暗夜,もののふ討伐録：イベント,1500,0,200,0,0,200,0,0,0,0,0
92,牛鬼の豪腕,黄金鬼神箱で交換可能,1500,0,180,0,0,0,100,0,0,0,0
93,神算鬼謀,福袋（※過去に販売）,1500,0,50,50,50,200,50,0,0,0,0
94,災禍の蛮嵐,福袋（※過去に販売）,1500,0,150,0,0,0,130,0,0,0,0
95,吹華の神力,安土花見祭り：イベント,1500,0,0,0,0,140,140,0,0,0,0
96,才色兼備,黄金鬼神箱で交換可能,1500,0,0,0,0,0,200,0,0,0,0
97,先知先覚,黄金鬼神箱で交換可能,1500,0,0,0,0,200,0,50,50,50,50
98,従容自若,黄金鬼神箱で交換可能,1500,0,0,125,0,0,125,0,0,0,0
99,智鬼の霊光,神将評勲(上覧)    ：  3500PT,1500,0,0,0,0,350,50,0,0,0,0
100,智神の霊光,※2026年3月18日以降入手不可,1500,0,0,0,0,300,50,0,0,0,0
101,守鬼の霊光,神将評勲(上覧)    ：  3500PT,1500,0,0,350,0,0,50,0,0,0,0
102,守神の霊光,※2026年3月18日以降入手不可,1500,0,0,300,0,0,50,0,0,0,0
103,戦鬼の霊光,神将評勲(上覧)    ：  3500PT,1500,0,350,0,0,0,50,0,0,0,0
104,戦神の霊光,※2026年3月18日以降入手不可,1500,0,300,0,0,0,50,0,0,0,0
105,闘神の霊光,神武の荒石or武技褒賞10000PT(鉄),1500,0,150,150,150,150,150,150,150,150,150
106,命脈の霊光,神武の荒石,1500,0,0,0,0,0,0,0,0,0,0
107,満天の霊光,黄金鬼神箱で交換可能,1500,0,0,0,0,0,100,100,100,100,100
108,不屈の闘志,黄金鬼神箱で交換可能,1500,0,0,100,0,0,150,0,0,0,0
109,闊達自在,黄金鬼神箱で交換可能,1500,1000,0,0,0,0,200,0,0,0,0
110,救世覇気,破滅の施錠箱・宝,1500,0,150,150,150,150,150,150,150,150,150
111,万象の神変,,1500,0,0,0,0,0,100,100,100,100,100
112,壮健剛毅,黄金鬼神箱で交換可能,1350,0,0,130,0,0,130,0,0,0,0
113,覇王覚醒,福袋（※過去に販売）,1350,0,115,115,115,115,115,0,0,0,0
114,烈烈果敢,黄金鬼神箱で交換可能,1350,0,130,130,0,0,0,0,0,0,0
115,尚武の気風,福袋（※過去に販売）,1350,0,0,130,0,0,130,0,0,0,0
116,湛然不動,黄金鬼神箱で交換可能,1350,0,0,130,0,0,130,0,0,0,0
117,四元の奔流,黄金鬼神箱で交換可能,1300,0,0,0,0,0,0,300,300,300,300
118,命脈の波動,神武の荒石,1300,0,0,0,0,0,0,0,0,0,0
119,悪夢降臨,桶狭間編の証or幽冥の荒石or雫：30000PT,1200,0,300,0,0,300,0,0,0,0,0
120,修羅の力,戦国鬼退治：イベント,1200,0,200,0,0,0,80,0,0,0,0
121,闘神の波動,神武の荒石or武技褒賞10000PT(鉄),1200,0,120,120,120,120,120,120,120,120,120
122,黄金の瑞光,黄金鬼神箱で交換可能,1200,0,100,0,0,0,200,0,0,0,0
123,命の霊光,荒石,1150,0,0,0,0,0,0,0,0,0,0
124,命脈の波紋,神武の荒石,1100,0,0,0,0,0,0,0,0,0,0
125,灰桜の星光,星海の荒石,1000,0,50,0,0,0,50,0,0,0,0
126,銀朱の星光,星海の荒石,1000,0,50,0,0,0,0,0,100,0,0
127,似桃の星光,星海の荒石,1000,0,50,0,0,0,0,0,0,100,0
128,浅葱の星光,星海の荒石,1000,0,0,50,0,0,0,100,0,0,0
129,紺碧の星光,星海の荒石,1000,0,0,50,0,0,0,0,100,0,0
130,薄墨の星光,星海の荒石,1000,0,0,50,0,0,0,50,50,50,50
131,梅染の星光,星海の荒石,1000,0,0,0,50,0,50,0,0,0,0
132,竜胆の星光,星海の荒石,1000,0,0,0,50,0,0,0,0,100,0
133,常盤の星光,星海の荒石,1000,0,0,0,50,0,0,0,0,0,100
134,山吹の星光,星海の荒石,1000,0,0,0,0,50,0,100,0,0,0
135,朽葉の星光,星海の荒石,1000,0,0,0,0,50,0,0,0,0,100
136,濡羽の星光,星海の荒石,1000,0,0,0,0,50,0,50,50,50,50
137,菖蒲の星光,星海の荒石,1000,0,0,0,0,0,50,50,50,50,50
138,虹彩の星光,星海の荒石,1000,0,25,25,25,25,25,25,25,25,25
139,天下の謀将,天下分け目の決戦：イベント,1000,0,0,0,0,180,0,180,180,180,180
140,至智如神,福袋（※過去に販売）,1000,0,0,0,0,350,0,0,0,0,0
141,天光遍照,もののふ討伐録：イベント,1000,0,150,150,150,150,150,0,0,0,0
142,夢幻泡影,福袋（※過去に販売）,1000,0,0,0,0,160,0,200,200,200,200
143,天賦五光,黄金鬼神箱で交換可能,1000,0,130,130,130,130,130,0,0,0,0
144,神速の躍動,ガチャポイント：交換品,1000,0,0,0,200,0,100,0,0,0,0
145,剛勇の境地,ガチャポイント：交換品,1000,0,200,0,100,0,0,0,0,0,0
146,不動の信念,ガチャポイント：交換品,1000,0,0,200,0,0,100,0,0,0,0
147,破魔の霊気,ガチャポイント：交換品,1000,0,0,0,0,200,100,0,0,0,0
148,仙才鬼才,黄金鬼神箱で交換可能,1000,0,0,0,0,200,100,0,0,0,0
149,八面六臂,黄金鬼神箱で交換可能,1000,0,130,0,0,130,0,0,0,0,0
150,徳高望重,ガチャポイント：交換品,1000,0,0,0,0,0,200,0,0,0,0
151,命の波動,荒石,1000,0,0,0,0,0,0,0,0,0,0
152,天下の烈将,天下分け目の決戦：イベント,900,0,180,0,180,0,0,0,0,0,0
153,天魔の野心,信長の野望の日：キャンペーン,850,0,40,40,40,40,40,0,0,0,0
154,命の波紋,荒石,850,0,0,0,0,0,0,0,0,0,0
155,闘神の波紋,神武の荒石or武技褒賞10000PT(鉄),800,0,80,80,80,80,80,80,80,80,80
156,命の細波,荒石,700,0,0,0,0,0,0,0,0,0,0
157,命の止水,荒石,550,0,0,0,0,0,0,0,0,0,0
158,闘神の細波,神武の荒石or武技褒賞10000PT(鉄),500,0,50,50,50,50,50,50,50,50,50
159,闘神の止水,神武の荒石or武技褒賞10000PT(鉄),200,0,20,20,20,20,20,20,20,20,20
160,博学才穎,ガチャポイント：交換品,0,0,0,0,0,200,100,100,100,100,100
161,勇往邁進,ガチャポイント：交換品,0,0,200,0,100,0,100,0,0,0,0
162,気合の霊光,荒石,0,1150,0,0,0,0,0,0,0,0,0
163,紅の霊光,荒石,0,0,160,0,0,0,0,0,0,0,0
164,青の霊光,荒石,0,0,0,160,0,0,0,0,0,0,0
165,器量の霊光,荒石,0,0,0,0,160,0,0,0,0,0,0
166,智の霊光,荒石,0,0,0,0,0,160,0,0,0,0,0
167,魅の霊光,荒石,0,0,0,0,0,0,160,0,0,0,0
168,土の霊光,荒石,0,0,0,0,0,0,0,160,0,0,0
169,水の霊光,荒石,0,0,0,0,0,0,0,0,160,0,0
170,火の霊光,荒石,0,0,0,0,0,0,0,0,0,160,0
171,風の霊光,荒石,0,0,0,0,0,0,0,0,0,0,160
172,四象の霊光,荒石,0,0,0,0,0,0,0,60,60,60,60
173,五輪の霊光,荒石,0,0,60,60,60,60,60,0,0,0,0
174,森羅の霊光,荒石,0,0,33,33,33,33,33,33,33,33,33
175,気合の波動,荒石,0,1000,0,0,0,0,0,0,0,0,0
176,紅の波動,荒石,0,0,130,0,0,0,0,0,0,0,0
177,青の波動,荒石,0,0,0,130,0,0,0,0,0,0,0
178,器量の波動,荒石,0,0,0,0,130,0,0,0,0,0,0
179,智の波動,荒石,0,0,0,0,0,130,0,0,0,0,0
180,魅の波動,荒石,0,0,0,0,0,0,130,0,0,0,0
181,土の波動,荒石,0,0,0,0,0,0,0,130,0,0,0
182,水の波動,荒石,0,0,0,0,0,0,0,0,130,0,0
183,火の波動,荒石,0,0,0,0,0,0,0,0,0,130,0
184,風の波動,荒石,0,0,0,0,0,0,0,0,0,0,130
185,四象の波動,荒石,0,0,0,0,0,0,0,50,50,50,50
186,五輪の波動,荒石,0,0,50,50,50,50,50,0,0,0,0
187,森羅の波動,荒石,0,0,28,28,28,28,28,28,28,28,28
188,気合の波紋,荒石,0,850,0,0,0,0,0,0,0,0,0
189,紅の波紋,荒石,0,0,100,0,0,0,0,0,0,0,0
190,青の波紋,荒石,0,0,0,100,0,0,0,0,0,0,0
191,器量の波紋,荒石,0,0,0,0,100,0,0,0,0,0,0
192,智の波紋,荒石,0,0,0,0,0,100,0,0,0,0,0
193,魅の波紋,荒石,0,0,0,0,0,0,100,0,0,0,0
194,土の波紋,荒石,0,0,0,0,0,0,0,100,0,0,0
195,水の波紋,荒石,0,0,0,0,0,0,0,0,100,0,0
196,火の波紋,荒石,0,0,0,0,0,0,0,0,0,100,0
197,風の波紋,荒石,0,0,0,0,0,0,0,0,0,0,100
198,四象の波紋,荒石,0,0,0,0,0,0,0,40,40,40,40
199,五輪の波紋,荒石,0,0,40,40,40,40,40,0,0,0,0
200,森羅の波紋,荒石,0,0,23,23,23,23,23,23,23,23,23
201,気合の細波,荒石,0,700,0,0,0,0,0,0,0,0,0
202,紅の細波,荒石,0,0,70,0,0,0,0,0,0,0,0
203,青の細波,荒石,0,0,0,70,0,0,0,0,0,0,0
204,器量の細波,荒石,0,0,0,0,70,0,0,0,0,0,0
205,智の細波,荒石,0,0,0,0,0,70,0,0,0,0,0
206,魅の細波,荒石,0,0,0,0,0,0,70,0,0,0,0
207,土の細波,荒石,0,0,0,0,0,0,0,70,0,0,0
208,水の細波,荒石,0,0,0,0,0,0,0,0,70,0,0
209,火の細波,荒石,0,0,0,0,0,0,0,0,0,70,0
210,風の細波,荒石,0,0,0,0,0,0,0,0,0,0,70
211,四象の細波,荒石,0,0,0,0,0,0,0,30,30,30,30
212,五輪の細波,荒石,0,0,30,30,30,30,30,0,0,0,0
213,森羅の細波,荒石,0,0,18,18,18,18,18,18,18,18,18
214,気合の止水,荒石,0,550,0,0,0,0,0,0,0,0,0
215,紅の止水,荒石,0,0,40,0,0,0,0,0,0,0,0
216,青の止水,荒石,0,0,0,40,0,0,0,0,0,0,0
217,器量の止水,荒石,0,0,0,0,40,0,0,0,0,0,0
218,智の止水,荒石,0,0,0,0,0,40,0,0,0,0,0
219,魅の止水,荒石,0,0,0,0,0,0,40,0,0,0,0
220,土の止水,荒石,0,0,0,0,0,0,0,40,0,0,0
221,水の止水,荒石,0,0,0,0,0,0,0,0,40,0,0
222,火の止水,荒石,0,0,0,0,0,0,0,0,0,40,0
223,風の止水,荒石,0,0,0,0,0,0,0,0,0,0,40
224,四象の止水,荒石,0,0,0,0,0,0,0,20,20,20,20
225,五輪の止水,荒石,0,0,20,20,20,20,20,0,0,0,0
226,森羅の止水,荒石,0,0,13,13,13,13,13,13,13,13,13
227,天佑神助,福袋（※過去に販売）,2500,0,0,0,0,0,220,0,0,0,0
228,不動堅固,もののふ討伐録：イベント,1500,0,140,260,0,0,0,0,0,0,0
229,流光輝彩,もののふ討伐録：イベント,1500,0,0,0,140,0,260,0,0,0,0
230,神助如意 ,討取の証：イベント,1600,0,0,0,0,200,0,100,100,100,100
231,中流砥柱,東西合戦：イベント,2000,0,0,300,0,0,0,0,0,0,0
232,如火如荼 ,福袋（※過去に販売）,2000,0,0,0,0,160,0,100,100,100,100
233,魔穴の神秘,封印編の証or魔穴の荒石or雫：60000PT,2000,0,260,0,60,0,0,0,0,0,0
234,波乱万丈 ,福袋（※過去に販売）,2000,0,0,100,0,0,200,0,0,0,0
235,魔穴の霊異,魔穴の荒石,2000,0,0,0,0,70,100,0,0,0,0
236,光跡天威 ,安土鎮魂祭：イベント,1800,0,0,0,0,160,0,120,120,120,120
237,闇影無痕 ,安土鎮魂祭：イベント,1800,0,0,0,0,160,0,120,120,120,120
238,滅世之威 ,修羅魔石・極：3000PT,1700,0,300,0,0,300,50,0,0,0,0
239,鶴汀鳧渚 ,福袋（※過去に販売）,2500,0,0,0,0,0,250,0,0,0,0
