英傑,出現数
加藤清正,2886
藤堂高虎(名臣),2871
小早川隆景,2856
石田三成,2821
本庄繁長,2814
三条の方,2786
直江景綱,2780
織田信長,2760
御子神典膳,2727
蛍(吸血),2685
森田浄曇,2666
大谷吉継,2589
梓,2583
伊達政宗,2555
お江,2551
上杉謙信,2511
真田信幸(泰然),2505
長宗我部元親,2492
竹中重門,2483
九鬼嘉隆,2482
本願寺顕如,2443
小松姫(航海),2426
武田勝頼,2409
北条氏照,2409
塩屋秋貞,2409
上杉謙信(野望),2401
本多正信,2396
道場娘まり,2219
小雀,2219
福島正則,2210
石田三成(西軍),2191
織田信長(特別),2125
森蘭丸(凶禍),2058
直江兼続,2022
高坂昌信,2022
遠足娘まり,2010
細川忠興,1999
細川晴元,1956
古田織部,1956
松永久秀(野望),1953
真田幸村(新星),1893
立花宗茂,1893
色部勝長,1893
本多忠勝,1893
北条綱成,1893
福島勝広,1893
七里頼周,1882
原虎胤,1877
甲斐宗運,1873
平手政秀,1859
帰蝶,1810
鬼庭左月斎,1780
藤岡屋伝助,1755
関口氏広,1749
山上道及,1742
明智光秀(十七),1734
馬場信春,1699
不破光治,1699
早川殿,1679
望月千代女(道化),1660
真田幸村,1650
足利義輝,1650
伊達成実,1650
晶,1648
今川氏真,1619
三好長慶(生殺),1597
霧隠才蔵,1597
今川義元(周年),1573
柿崎景家,1557
遠山景任,1556
大友宗麟,1550
羽柴秀吉,1542
渡辺了,1535
片倉重長,1531
荒木村重,1487
真田幸隆,1481
織田信長(周年),1477
明智光安,1447
雨森弥兵衛,1438
徳川家康,1405
新庄直頼,1405
内藤正成,1405
滝川一益(風雲),1359
ガラシャ(聖),1347
種子島時堯,1332
丹羽長秀,1303
筧十蔵,1302
庵原将監,1290
鳥居景近,1283
小西行長,1235
佐久間信盛,1175
室賀正武,1138
高橋紹運,1109
氏家卜全,1109
岡部元信,1109
可児才蔵,1109
伸介,1107
薄田兼相,1071
宝蔵院胤栄,1069
本多忠勝(盛夏),1069
真田信尹,1065
京極高吉,1026
望月千代女,964
新開実綱,961
鎧鍛冶次郎,946
江里口信常,946
斎藤義龍,940
島津家久,934
下津一通,934
瀬名氏俊,929
藤堂高虎,929
唐沢玄蕃,927
立花宗茂(盛夏),912
朝倉宗滴,912
岡部正綱,887
鈴木重朝,887
竹中半兵衛,868
下間頼廉(籠城),861
光教寺顕誓,844
下間頼竜,843
森蘭丸,818
泉田重光,818
朝倉景恒,789
蛍,787
蒲生氏郷,778
石川昭光,778
伊賀崎道順,773
朝比奈泰朝,771
印牧能信,771
簗田新八,771
北条氏康,761
小山田信茂,761
下間頼廉,756
朝倉景紀,750
真田信幸(航海),738
もの知り爺,737
毛利元就,730
安藤良整,729
お知恵,688
大熊朝秀,664
安藤守就,631
道場忍お綾,623
足利義昭,621
北条幻庵,596
池田勝正,595
上杉景勝,595
伊達実元,595
鵜殿長持,594
濃姫(雅楽),591
井伊直親,589
北条氏規,588
北条高広,577
一宮宗是,572
内藤昌豊,565
三淵晴員,560
風魔小太郎(野望),518
鬼小島弥太郎,497
愛弟子ノア,488
朝倉景隆,487
武田信繁,468
陣蔵,462
酒井忠次,461
朝倉景連,457
百地三太夫,436
加藤段蔵,436
藤林正保,436
滝川一益,436
伴長信,436
来福寺左京,436
妙玖,428
高力清長,411
杉谷善住坊,394
雑賀孫六,394
雑賀孫市,394
関掃部,394
津田監物,394
鈴木元信,375
鳥居元忠,373
サンチョ,362
お市(婚礼),360
降神祈祷師,359
愛姫,341
片倉景綱,339
安国寺恵瓊,334
武田信玄,334
興正寺顕尊,334
三井遊雲軒,322
本願寺教如,314
本願寺証如,314
西光寺真敬,314
本願寺実悟,314
山本勘助,310
赤尾清綱,309
鬼庭綱元,302
矢沢頼綱,302
清水康英,301
岡国高,296
大沢正秀,293
明智光秀(初期),275
三好長逸,275
魔導士ルシア,247
三好長慶,233
明智光秀,233
真田昌幸,225
岡吉正,225
粟津元隈,224
雑賀孫市(陣羽織),219
的場源四郎,219
植田光次,215
和田惟政,212
猿飛佐助,212
窯隠れの才蔵,212
石川五右衛門,212
濃姫(特別),211
服部半蔵,209
出浦盛清,209
望月吉棟,209
山中俊房,209
遠藤直経,209
甲山太郎次郎,209
岩成友通,208
百地三太夫(野望),204
浅井久政,204
まつ,192
ねね(和装),165
愛姫(特別),150
酒井忠次(通),113
島津日新斎,108
毛利隆元,70
前田利家,47
上杉憲政,5
