番号,魔導の力,入手,生命,気合,腕力,耐久,器用,知力,魅力,土,水,火,風
32,鋼の波動,天下統一奇譚：桶狭間＆富士：6000PT【魔導付与石・霊四】,190,0,0,45,0,0,0,0,0,0,0
33,技巧の波動,天下統一奇譚：桶狭間＆富士：6000PT【魔導付与石・霊四】,190,0,0,0,45,0,0,0,0,0,0
34,英知の波動,天下統一奇譚：桶狭間＆富士：6000PT【魔導付与石・霊四】,190,0,0,0,0,45,0,0,0,0,0
35,麗の波動,天下統一奇譚：桶狭間＆富士：6000PT【魔導付与石・霊四】,190,0,0,0,0,0,45,0,0,0,0
36,大地の波動,天下統一奇譚：桶狭間＆富士：6000PT【魔導付与石・霊四】,190,0,0,0,0,0,0,45,0,0,0
37,大海の波動,天下統一奇譚：桶狭間＆富士：6000PT【魔導付与石・霊四】,190,0,0,0,0,0,0,0,45,0,0
38,大炎の波動,天下統一奇譚：桶狭間＆富士：6000PT【魔導付与石・霊四】,190,0,0,0,0,0,0,0,0,45,0
39,大風の波動,天下統一奇譚：桶狭間＆富士：6000PT【魔導付与石・霊四】,190,0,0,0,0,0,0,0,0,0,45
40,気力の波紋,天下統一奇譚：桶狭間＆富士：3000PT【魔導付与石・霊参】,180,210,0,0,0,0,0,0,0,0,0
41,怪力の波紋,天下統一奇譚：桶狭間＆富士：3000PT【魔導付与石・霊参】,180,0,40,0,0,0,0,0,0,0,0
42,鋼の波紋,天下統一奇譚：桶狭間＆富士：3000PT【魔導付与石・霊参】,180,0,0,40,0,0,0,0,0,0,0
43,技巧の波紋,天下統一奇譚：桶狭間＆富士：3000PT【魔導付与石・霊参】,180,0,0,0,40,0,0,0,0,0,0
44,英知の波紋,天下統一奇譚：桶狭間＆富士：3000PT【魔導付与石・霊参】,180,0,0,0,0,40,0,0,0,0,0
45,麗の波紋,天下統一奇譚：桶狭間＆富士：3000PT【魔導付与石・霊参】,180,0,0,0,0,0,40,0,0,0,0
46,大地の波紋,天下統一奇譚：桶狭間＆富士：3000PT【魔導付与石・霊参】,180,0,0,0,0,0,0,40,0,0,0
47,大海の波紋,天下統一奇譚：桶狭間＆富士：3000PT【魔導付与石・霊参】,180,0,0,0,0,0,0,0,40,0,0
48,大炎の波紋,天下統一奇譚：桶狭間＆富士：3000PT【魔導付与石・霊参】,180,0,0,0,0,0,0,0,0,40,0
49,大風の波紋,天下統一奇譚：桶狭間＆富士：3000PT【魔導付与石・霊参】,180,0,0,0,0,0,0,0,0,0,40
50,紅命の霊光,冥宮の玉手箱or冥宮の宝箱：10000PT【魔導付与石・双】,420,0,35,0,0,0,0,0,0,0,0
51,紅林の霊光,冥宮の玉手箱or冥宮の宝箱：10000PT【魔導付与石・双】,200,0,35,0,35,0,0,0,0,0,0
52,紅魅の霊光,冥宮の玉手箱or冥宮の宝箱：10000PT【魔導付与石・双】,200,0,35,0,0,0,35,0,0,0,0
53,蒼命の霊光,冥宮の玉手箱or冥宮の宝箱：10000PT【魔導付与石・双】,420,0,0,35,0,0,0,0,0,0,0
54,蒼紅の霊光,冥宮の玉手箱or冥宮の宝箱：10000PT【魔導付与石・双】,200,0,35,35,0,0,0,0,0,0,0
55,蒼魅の霊光,冥宮の玉手箱or冥宮の宝箱：10000PT【魔導付与石・双】,200,0,0,35,0,0,35,0,0,0,0
56,知命の霊光,冥宮の玉手箱or冥宮の宝箱：10000PT【魔導付与石・双】,420,0,0,0,0,35,0,0,0,0,0
57,知魅の霊光,冥宮の玉手箱or冥宮の宝箱：10000PT【魔導付与石・双】,200,0,0,0,0,35,35,0,0,0,0
58,攻術の霊光,冥宮の玉手箱or冥宮の宝箱：10000PT【魔導付与石・双】,200,0,0,0,0,35,0,35,35,35,35
59,修羅の霊光,東西合戦：イベント【修羅のグラス】×何か合成時,200,0,40,0,0,0,0,0,0,0,0
60,剛神の霊光,東西合戦：イベント【剛神のグラス】×何か合成時,200,0,0,40,0,0,0,0,0,0,0
61,絶技の霊光,東西合戦：イベント【絶技のグラス】×何か合成時,200,0,0,0,40,0,0,0,0,0,0
62,智将の霊光,東西合戦：イベント【智将のグラス】×何か合成時,200,0,0,0,0,40,0,0,0,0,0
63,麗気の霊光,東西合戦：イベント【麗気のグラス】×何か合成時,200,0,0,0,0,0,40,0,0,0,0
64,慈愛の霊光,東西合戦：イベント【慈愛のグラス】×何か合成時,300,0,0,0,0,0,0,0,0,0,0
65,新緑の霊光,天下統一奇譚：桶狭間＆富士：2000PT【魔導付与石・伍】,420,0,0,0,0,0,0,0,0,0,0
66,気の霊光,天下統一奇譚：桶狭間＆富士：2000PT【魔導付与石・伍】,200,220,0,0,0,0,0,0,0,0,0
67,緋色の霊光,天下統一奇譚：桶狭間＆富士：2000PT【魔導付与石・伍】,200,0,35,0,0,0,0,0,0,0,0
68,蒼穿の霊光,天下統一奇譚：桶狭間＆富士：2000PT【魔導付与石・伍】,200,0,0,35,0,0,0,0,0,0,0
69,風林の霊光,天下統一奇譚：桶狭間＆富士：2000PT【魔導付与石・伍】,200,0,0,0,35,0,0,0,0,0,0
70,知性の霊光,天下統一奇譚：桶狭間＆富士：2000PT【魔導付与石・伍】,200,0,0,0,0,35,0,0,0,0,0
71,女神の霊光,天下統一奇譚：桶狭間＆富士：2000PT【魔導付与石・伍】,200,0,0,0,0,0,35,0,0,0,0
72,地精の霊光,天下統一奇譚：桶狭間＆富士：2000PT【魔導付与石・伍】,200,0,0,0,0,0,0,35,0,0,0
73,水精の霊光,天下統一奇譚：桶狭間＆富士：2000PT【魔導付与石・伍】,200,0,0,0,0,0,0,0,35,0,0
74,火精の霊光,天下統一奇譚：桶狭間＆富士：2000PT【魔導付与石・伍】,200,0,0,0,0,0,0,0,0,35,0
75,風精の霊光,天下統一奇譚：桶狭間＆富士：2000PT【魔導付与石・伍】,200,0,0,0,0,0,0,0,0,0,35
